Year,Player,College,Position,Grade,Height,Arm Length,Weight,Hands,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,Three Cone Drill,20 Yard Shuttle,Wonderlic
2015,Ameer Abdullah,Nebraska,RB,5.9,69,0,205,0,4.6,24,42.5,130,6.79,3.95,0
2015,Nelson Agholor,USC,WR,5.6,72,0,198,0,4.42,12,0,0,0,0,0
2015,Jay Ajayi,Boise St.,RB,6,72,0,221,0,4.57,19,39,121,7.1,4.1,0
2015,Kwon Alexander,LSU,OLB,5.4,73,0,227,0,4.55,24,36,121,7.14,4.2,0
2015,Mario Alford,West Virginia,WR,5.3,68,0,180,0,4.43,13,34,121,6.64,4.07,0
2015,Javorius Allen,USC,RB,5.3,72,0,221,0,4.53,11,35.5,121,6.96,4.28,0
2015,Adrian Amos,Penn St.,FS,5.5,72,0,218,0,4.56,0,35.5,122,7.09,4.03,0
2015,Dres Anderson,Utah,WR,5.5,73,0,187,0,0,13,0,0,0,0,0
2015,Henry Anderson,Stanford,DE,5.6,78,0,294,0,5.03,0,30,111,7.2,4.19,0
2015,Rory 'Busta' Anderson,South Carolina,TE,5.5,77,0,244,0,0,0,0,0,0,0,0
2015,Stephone Anthony,Clemson,ILB,5.4,75,0,243,0,4.56,23,37,122,7.07,4.03,0
2015,Arik Armstead,Oregon,DT,6.2,79,0,292,0,5.1,24,34,117,7.57,4.53,0
2015,Cameron Artis-Payne,Auburn,RB,5.4,70,0,212,0,4.53,0,36.5,118,7.13,0,0
2015,Neiron Ball,Florida,OLB,4.9,74,0,236,0,0,22,0,0,0,0,0
2015,Tavaris Barnes,Clemson,DE,5,76,0,282,0,4.8,22,0,0,0,0,0
2015,Wil Baumann,N.C. State,P,5.1,78,0,187,0,0,0,0,0,0,0,0
2015,Vic Beasley,Clemson,OLB,6.1,75,0,246,0,4.53,35,41,130,6.91,4.15,0
2015,Blake Bell,Oklahoma,TE,5.2,78,0,252,0,4.8,14,33,116,0,4.32,0
2015,Kenny Bell,Nebraska,WR,5.4,73,0,197,0,4.42,7,41.5,129,6.66,4.15,0
2015,Bryan Bennett,Southeastern Louisiana,QB,0,74,0,211,0,4.81,0,37,125,7.13,4.2,0
2015,Michael Bennett,Ohio St.,DT,6,74,0,293,0,0,0,0,0,0,0,0
2015,E.J. Bibbs,Iowa St.,TE,5,74,0,258,0,0,20,0,0,0,0,0
2015,Angelo Blackson,Auburn,DT,5,76,0,318,0,5.02,20,31,101,7.5,4.57,0
2015,Al Bond,Memphis,OG,5,76,0,303,0,5.57,22,23.5,90,7.9,4.65,0
2015,Detrick Bonner,Virginia Tech,FS,5.2,72,0,207,0,0,15,0,0,0,0,0
2015,Anthony Boone,Duke,QB,5,72,0,231,0,5.03,0,26.5,100,7.47,4.62,0
2015,Brett Boyko,UNLV,OT,4.8,79,0,301,0,5.6,0,25,103,7.91,4.75,0
2015,Nick Boyle,Delaware,TE,5.2,76,0,268,0,5.04,20,30.5,112,0,4.23,0
2015,Brandon Bridge,South Alabama,QB,5,76,0,229,0,4.72,0,33,110,7.18,4.37,0
2015,Kyle Brindza,Notre Dame,K,4.8,73,0,236,0,0,14,0,0,0,0,0
2015,Da'Ron Brown,Northern Illinois,WR,4.9,72,0,205,0,4.54,17,37,120,7.04,4.11,0
2015,Dominique Brown,Louisville,RB,5,74,0,234,0,0,17,0,0,0,0,0
2015,Jamon Brown,Louisville,OT,5.3,76,0,323,0,0,0,0,0,0,0,0
2015,Malcolm Brown,Texas,RB,5.2,71,0,224,0,4.62,19,34.5,117,6.86,4.15,0
2015,Malcom Brown,Texas,DT,6.1,74,0,319,0,5.05,26,29.5,98,7.84,4.59,0
2015,Trenton Brown,Florida,OG,5.3,80,0,355,0,5.29,20,23.5,97,8.23,4.78,0
2015,Michael Burton,Rutgers,FB,4.8,71,0,242,0,4.74,25,33,115,7.2,4.34,0
2015,Ibraheim Campbell,Northwestern,SS,5.2,71,0,208,0,0,23,0,0,0,0,0
2015,A.J. Cann,South Carolina,OG,6,75,0,313,0,0,26,0,0,0,0,0
2015,Shane Carden,East Carolina,QB,5.1,74,0,218,0,4.94,0,29.5,104,7.17,4.45,0
2015,Joe Cardona,Navy,LS,0,74,0,242,0,4.91,30,33,0,0,0,0
2015,Alex Carter,Stanford,CB,5.5,72,0,196,0,4.51,17,40,121,7.05,4.07,0
2015,B.J. Catalon,TCU,RB,5.1,67,0,186,0,4.57,0,36,114,6.9,4.15,0
2015,Donald Celiscar,Western Michigan,CB,5.3,71,0,194,0,4.62,0,0,120,0,0,0
2015,Anthony Chickillo,Miami,DE,5.1,75,0,267,0,4.79,27,34.5,114,7.17,4.25,0
2015,Gerald Christian,Louisville,TE,5.3,75,0,244,0,4.87,28,0,0,0,4.7,0
2015,Kyle Christy,Florida,P,0,74,0,202,0,0,0,0,0,0,0,0
2015,Frank Clark,Michigan,DE,4.8,75,0,271,0,4.79,19,38.5,118,7.08,4.05,0
2015,Kaelin Clay,Utah,WR,5.1,70,0,195,0,4.51,10,33,113,6.97,4.26,0
2015,Cameron Clear,Texas A&M,TE,4.8,77,0,277,0,4.98,0,32,108,0,4.48,0
2015,T.J. Clemmings,Pittsburgh,OT,6.1,77,0,309,0,5.14,22,32.5,111,7.68,4.54,0
2015,Sammie Coates,Auburn,WR,5.6,73,0,212,0,4.43,23,41,131,6.98,4.06,0
2015,David Cobb,Minnesota,RB,5.5,71,0,229,0,4.81,17,38.5,121,0,0,0
2015,Takoby Cofield,Duke,OT,4.9,76,0,310,0,5.19,23,30,101,8.09,4.79,0
2015,Justin Coleman,Tennessee,CB,5.2,71,0,185,0,4.53,20,37.5,124,6.61,3.98,0
2015,Tevin Coleman,Indiana,RB,6.1,71,0,206,0,0,22,0,0,0,0,0
2015,Jalen Collins,LSU,CB,6.1,73,0,203,0,4.48,0,36,124,6.77,4.27,0
2015,La'el Collins,LSU,OT,6.2,76,0,305,0,5.12,21,27,108,7.7,4.63,0
2015,Landon Collins,Alabama,SS,6.4,72,0,228,0,4.53,0,35,120,7.38,4.33,0
2015,Chris Conley,Georgia,WR,5.5,74,0,213,0,4.35,18,45,139,7.06,4.3,0
2015,Amari Cooper,Alabama,WR,7,73,0,211,0,4.42,0,33,120,6.71,3.98,0
2015,Xavier Cooper,Washington St.,DT,5.4,75,0,293,0,4.86,29,29,110,7.23,4.37,0
2015,Christian Covington,Rice,DT,5.4,74,0,289,0,0,0,0,0,0,0,0
2015,Justin Cox,Mississippi St.,FS,4.9,73,0,191,0,4.36,15,38,129,7.05,4.07,0
2015,Corey Crawford,Clemson,DE,4.9,77,0,283,0,5.01,0,33,110,7.64,4.65,0
2015,Rob Crisp,N.C. State,OT,5.5,79,0,301,0,5.26,26,32.5,107,8.07,4.6,0
2015,John Crockett,North Dakota St.,RB,5.2,72,0,217,0,4.62,15,40,125,7.15,4.25,0
2015,Jamison Crowder,Duke,WR,5.4,68,0,185,0,4.56,10,37,115,7.17,4.32,0
2015,Yannik Cudjoe-Virgil,Maryland,OLB,4.8,74,0,248,0,0,25,0,0,0,0,0
2015,Davaris Daniels,Notre Dame,WR,5.2,73,0,201,0,4.62,13,37,122,0,0,0
2015,Ronald Darby,Florida St.,CB,5.6,71,0,193,0,4.38,12,41.5,129,6.94,4.14,0
2015,Aaron Davis,Colorado St.,OLB,5.2,72,0,225,0,4.95,16,29,107,7.38,4.37,0
2015,Carl Davis,Iowa,DT,5.9,77,0,320,0,5.07,0,33,103,7.91,4.47,0
2015,Devante Davis,UNLV,WR,5.2,75,0,220,0,4.57,16,35.5,115,7.25,4.12,0
2015,Geremy Davis,Connecticut,WR,4.8,74,0,216,0,0,23,36.5,124,6.86,4.18,0
2015,Mike Davis,South Carolina,RB,5.4,69,0,217,0,4.61,17,34,116,7,4.18,0
2015,Titus Davis,Central Michigan,WR,5.4,73,0,196,0,4.51,0,32.5,119,7.14,4.28,0
2015,Tyeler Davison,Fresno St.,DT,5.5,74,0,316,0,5.18,32,33,105,7.53,4.46,0
2015,Paul Dawson,TCU,ILB,6,72,0,235,0,4.93,21,28,109,0,4.49,0
2015,Ryan Delaire,Towson,DE,5,76,0,254,0,4.97,23,0,0,0,0,0
2015,Trey DePriest,Alabama,ILB,5.1,72,0,254,0,0,0,0,0,0,0,0
2015,A.J. Derby,Arkansas,TE,5.3,76,0,255,0,0,15,0,0,0,0,0
2015,Xzavier Dickson,Alabama,OLB,5.1,75,0,260,0,4.74,19,29.5,100,7.56,4.53,0
2015,Quandre Diggs,Texas,CB,5.2,69,0,196,0,4.56,17,35.5,113,7.22,4.15,0
2015,Stefon Diggs,Maryland,WR,5.6,72,0,195,0,4.46,0,35,115,7.03,4.32,0
2015,Reese Dismukes,Auburn,C,5.3,75,0,296,0,5.31,23,27.5,107,8.14,4.7,0
2015,Andrew Donnal,Iowa,OT,5.4,78,0,313,0,5.31,17,32,101,7.84,4.77,0
2015,Phillip Dorsett,Miami,WR,5.7,70,0,185,0,4.33,13,37,122,6.7,4.11,0
2015,Lorenzo Doss,Tulane,CB,5.6,70,0,182,0,4.5,9,33.5,115,7.2,4.26,0
2015,Jamil Douglas,Arizona State,OG,5.2,76,0,304,0,5.25,28,29,99,7.99,4.75,0
2015,Kurtis Drummond,Michigan St.,FS,5.5,73,0,208,0,4.65,0,39.5,119,7.09,4.33,0
2015,B.J. Dubose,Louisville,OLB,5.2,76,0,284,0,5.06,26,0,0,0,0,0
2015,Bud Dupree,Kentucky,OLB,5.9,76,0,269,0,4.56,0,42,138,0,0,0
2015,Michael Dyer,Louisville,RB,4.9,68,0,218,0,4.58,26,34,120,0,0,0
2015,Jahwan Edwards,Ball St.,RB,5.1,69,0,220,0,4.8,16,35.5,117,7.63,4.5,0
2015,Mario Edwards,32,Edwards,0,6,75,3,279,0,32.5,4.55,7.44,0,0,0
2015,Ifo Ekpre-Olomu,Oregon,CB,5.6,69,0,192,0,0,0,0,0,0,0,0
2015,Kyle Emanuel,North Dakota St.,OLB,5.5,75,0,255,0,4.77,27,34,120,7.1,4.25,0
2015,Cameron Erving,Florida St.,C,5.8,77,0,313,0,5.15,30,30.5,112,7.48,4.63,0
2015,Durell Eskridge,Syracuse,FS,5.2,75,0,208,0,4.63,0,31,117,7.09,4.26,0
2015,Tayo Fabuluje,TCU,OG,5.3,78,0,353,0,5.55,0,29.5,0,0,4.77,0
2015,Cody Fajardo,Nevada,QB,5,73,0,223,0,4.63,0,32.5,118,6.95,4.1,0
2015,Jon Feliciano,Miami,OG,4.8,76,0,323,0,5.33,0,26.5,97,0,4.74,0
2015,Sam Ficken,Penn St.,K,4.8,73,0,191,0,0,0,0,0,0,0,0
2015,B.J. Finney,Kansas St.,C,5.6,76,0,318,0,5.25,20,24,99,0,4.76,0
2015,Jake Fisher,Oregon,OT,5.7,78,0,306,0,5.01,25,32.5,0,7.25,4.33,0
2015,Ereck Flowers,Miami,OT,6,78,0,329,0,5.31,37,0,0,0,0,0
2015,Trey Flowers,Arkansas,DE,5.6,74,0,266,0,4.93,28,36.5,121,7.34,4.4,0
2015,Jalston Fowler,Alabama,FB,5.1,71,0,254,0,4.94,23,33.5,114,7.56,4.4,0
2015,Dante Fowler,19,Fowler,0,6,75,3,261,0,32.5,4.32,7.4,0,0,0
2015,Alani Fua,BYU,OLB,5.3,77,0,238,0,4.73,18,34.5,118,6.83,4.15,0
2015,Devin Funchess,Michigan,WR,5.6,76,0,232,0,4.7,17,38.5,122,0,0,0
2015,Charles Gaines,Louisville,CB,5.5,70,0,180,0,4.44,0,34.5,123,7.07,4.2,0
2015,Andy Gallik,Boston College,C,5.5,74,0,306,0,5.5,29,27,96,7.66,4.58,0
2015,Max Garcia,Florida,C,5.2,76,0,309,0,0,0,0,0,0,0,0
2015,Clayton Geathers,Central Florida,SS,5.2,74,0,218,0,4.55,22,37,120,7.21,4.27,0
2015,Laurence Gibson,Virginia Tech,OT,4.9,78,0,305,0,5.04,24,33.5,113,7.72,4.56,0
2015,Jacoby Glenn,Central Florida,CB,5.2,72,0,179,0,4.64,0,34,123,6.97,4.26,0
2015,Mark Glowinski,West Virginia,OG,5.4,76,0,307,0,5.2,31,29.5,113,7.56,4.58,0
2015,Markus Golden,Missouri,DE,5.5,74,0,260,0,4.9,0,0,0,0,0,0
2015,Eddie Goldman,Florida St.,DT,6.1,76,0,336,0,0,0,0,0,0,0,0
2015,Senquez Golson,Mississippi,CB,5.8,69,0,176,0,4.46,15,33.5,120,6.81,4.2,0
2015,Antwan Goodley,Baylor,WR,5.5,70,0,209,0,4.44,0,0,0,0,0,0
2015,Melvin Gordon,Wisconsin,RB,6.2,73,0,215,0,4.52,19,35,126,7.04,4.07,0
2015,Doran Grant,Ohio St.,CB,5.3,70,0,200,0,4.44,21,33,116,0,4.33,0
2015,Hroniss Grasu,Oregon,C,5.7,75,0,297,0,0,0,0,0,0,0,0
2015,Garrett Grayson,Colorado St.,QB,5.4,74,0,213,0,0,0,0,0,0,0,0
2015,Chaz Green,Florida,OT,5.1,77,0,314,0,5.16,21,29.5,106,8,4.7,0
2015,Dorial Green-Beckham,Missouri,WR,5.7,77,0,237,0,4.49,13,33.5,119,6.89,4.45,0
2015,Rashad Greene,Florida St.,WR,5.7,71,0,182,0,4.53,0,36.5,122,6.88,4.12,0
2015,Randy Gregory,Nebraska,OLB,6.4,77,0,235,0,4.64,24,36.5,125,0,0,0
2015,Geneo Grissom,Oklahoma,DE,5.4,75,0,262,0,4.81,20,37,117,7.24,4.38,0
2015,Ladarius Gunter,Miami,CB,5.4,73,0,202,0,4.69,12,33.5,108,7.18,4.41,0
2015,Todd Gurley,Georgia,RB,6.3,73,0,222,0,0,17,0,0,0,0,0
2015,Obum Gwacham,Oregon St.,DE,5.2,77,0,246,0,4.72,22,36,121,7.28,4.28,0
2015,Chris Hackett,TCU,FS,5.1,72,0,195,0,4.81,0,32,110,7.12,4.2,0
2015,Bryce Hager,Baylor,ILB,5.1,73,0,234,0,4.6,26,35,117,7.15,4.36,0
2015,Rannell Hall,Central Florida,WR,5.2,72,0,198,0,4.6,16,41,132,6.86,4.15,0
2015,Connor Halliday,Washington St.,QB,5.1,75,0,196,0,0,0,0,0,0,0,0
2015,Chad Hamilton,Coastal Carolina,C,5.2,74,0,292,0,0,0,0,0,0,0,0
2015,Marcus Hardison,Arizona State,DE,5.6,75,0,307,0,0,27,0,0,0,0,0
