Year,Player,College,Position,Grade,Height,Arm Length,Weight,Hands,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,Three Cone Drill,20 Yard Shuttle,60 Yard Shuttle
2016,Jared Goff,California,QB,6.73,76,32.75,215,9,4.82,,27,110,7.17,,
2016,Paxton Lynch,Memphis,QB,6.49,79,34.25,244,10.25,4.86,,36,118,7.14,,
2016,Carson Wentz,North Dakota State,QB,6.23,77,33.25,237,10,4.77,,30.5,118,6.86,,
2016,Connor Cook,Michigan State,QB,5.85,76,33,217,9.75,4.79,,33,113,7.21,,
2016,Christian Hackenberg,Penn State,QB,5.61,76,32,223,9,4.78,,31,114,7.04,,
2016,Jacoby Brissett,North Carolina State,QB,5.5,76,32.25,231,9.75,4.94,,31,113,7.17,,
2016,Cardale Jones,Ohio State,QB,5.44,77,33.75,253,9.75,4.81,,36,,,,
2016,Cody Kessler,USC,QB,5.41,73,32.625,220,10.875,4.89,,29.5,104,7.32,,
2016,Brandon Allen,Arkansas,QB,5.39,73,31.25,217,8.875,4.84,,28,110,7.06,,
2016,Dak Prescott,Mississippi State,QB,5.38,74,32.25,226,10.875,4.79,,32.5,116,7.11,,
2016,Nate Sudfeld,Indiana,QB,5.27,78,34.25,234,9.875,,,29,105,,,
2016,Jeff Driskel,Louisiana Tech,QB,5.13,76,33.5,234,9.75,4.56,,32,122,7.19,,
2016,Brandon Doughty,Western Kentucky,QB,5.11,75,32,213,9.125,5.22,,27,103,7.49,,
2016,Joel Stave,Wisconsin,QB,5.08,77,33.25,236,10.75,4.8,,33.5,115,7.29,,
2016,Kevin Hogan,Stanford,QB,5.06,75,32.375,218,10.25,4.78,,32.5,113,6.9,,
2016,Trevone Boykin,TCU,QB,5,72,31.625,212,9.375,4.77,,32,110,,,
2016,Vernon Adams,Oregon,QB,4.95,71,30.25,200,9.125,4.83,,29.5,114,6.82,,
2016,Josh Woodrum,Liberty,QB,4.8,75,31.875,231,9.25,4.8,,31,117,6.74,,
2016,Ezekiel Elliott,Ohio State,RB,7.2,72,31.25,225,10.25,4.47,,32.5,118,,,
2016,Jordan Howard,Indiana,RB,6.16,72,32.25,230,9,,16,34,122,,,
2016,Derrick Henry,Alabama,RB,6.15,75,33,247,8.75,4.54,22,37,130,7.2,4.38,11.5
