Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints
1,Charles Tillman,CHI,CB,16,75,12,1,0,0,0,16,3,10,2,3,10.1,161
2,Morgan Burnett,GB,SS,16,87,35,5,2,25,3,5,2,2,1,0,8.7,139
3,Richard Sherman,SEA,CB,16,54,11,0,1,16,1,24,8,3,1,1,8.5,136.1
4,Eric Weddle,LAC,FS,16,83,14,4,1,0,2,9,3,2,0,1,7.9,127
4,LaRon Landry,NYJ,FS,16,76,24,4,0,0,3,8,2,4,0,1,7.9,127
6,Harrison Smith,MIN,FS,16,70,28,1,1,0,2,10,3,1,1,2,7.9,126
7,Ronde Barber,TB,FS,16,71,21,8,1,2,0,13,4,1,0,1,7.9,125.7
8,Reshad Jones,MIA,SS,16,73,21,4,1,5,4,9,4,2,2,0,7.8,125
9,Cortland Finnegan,LAR,CB,16,83,18,3,1,7,1,8,3,1,0,1,7.8,124.7
10,Janoris Jenkins,LAR,CB,15,64,9,3,0,0,0,14,4,0,1,4,8.3,124.5
11,Roman Harper,NO,SS,16,88,27,4,0,0,1,11,2,0,0,0,7.7,123.5
12,Antoine Winfield,MIN,CB,16,72,29,8,0.5,0,1,13,3,0,1,0,7.6,121.5
13,Jason McCourty,TEN,CB,16,73,19,4,0,0,0,15,4,1,1,0,7.5,119.5
14,DeAngelo Hall,WAS,FS,16,64,26,7,1,7,1,14,4,0,1,0,7.3,116.7
15,Ryan Clark,PIT,FS,15,74,28,4,0,0,0,7,2,2,1,0,7.6,114
16,Tim Jennings,CHI,CB,14,55,5,1,0,0,0,21,9,0,0,1,8,112.5
17,Stevie Brown,NYG,SS,16,56,10,3,0,0,1,11,8,2,2,0,7,112
18,Cary Williams,BAL,CB,16,67,8,2,1,9,1,17,4,0,0,1,7,111.9
19,Quintin Mikell,LAR,SS,16,75,18,3,3,35,1,2,0,4,0,0,7,111.5
20,Devin McCourty,NE,FS,16,60,19,3,0,0,0,13,5,2,0,0,6.9,110.5
