Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints
1,Von Miller,DEN,OLB,16,55,13,28,18.5,129,24,2,1,6,0,1,12,192.4
2,Daryl Washington,ARI,ILB,16,108,26,15,9,51,11,4,1,2,1,0,11.6,186.1
3,Luke Kuechly,CAR,ILB,16,103,61,12,1,4,1,8,2,0,3,0,10.7,171.9
4,Aldon Smith,SF,OLB,16,50,16,18,19.5,145,28,1,1,3,0,0,10.7,170.5
5,Lavonte David,TB,OLB,16,112,27,20,2,14,4,5,1,0,0,0,10.2,162.9
6,Lawrence Timmons,PIT,OLB,16,75,31,10,6,51,14,5,3,2,1,1,10,160.6
7,Paul Posluszny,JAX,ILB,16,106,33,5,2,10,6,7,3,2,0,0,10,160.5
8,Jo-Lonn Dunbar,LAR,OLB,16,89,24,16,4.5,41,11,4,2,2,0,0,9.8,157.1
9,Jerod Mayo,NE,ILB,16,88,59,5,3,24,5,3,1,4,1,0,9.8,156.9
10,Chad Greenway,MIN,OLB,16,98,50,7,3,14,5,4,1,0,2,0,9.7,155.4
11,London Fletcher,WAS,ILB,16,78,61,5,3,22,4,11,5,1,0,0,9.7,154.7
12,Derrick Johnson,KC,ILB,16,109,15,12,2,10,5,4,0,3,0,0,9.5,151.5
13,James Laurinaitis,LAR,ILB,16,117,25,4,0.5,3,2,4,2,0,1,0,9.4,149.8
14,Zach Brown,TEN,ILB,16,68,24,11,5.5,28,8,5,3,1,2,2,9.2,147.8
15,Jerrell Freeman,IND,ILB,16,90,55,7,2,17,1,2,1,1,0,1,9.1,145.2
16,Wesley Woodyard,DEN,ILB,15,70,44,9,5.5,47,7,6,3,1,1,0,9.6,144.7
17,Bobby Wagner,SEA,ILB,16,86,53,9,2,11,5,4,3,0,0,0,9,144.6
18,NaVorro Bowman,SF,ILB,16,92,51,6,2,9,4,6,1,1,0,0,9,144.4
19,Anthony Spencer,DAL,OLB,14,55,40,14,11,83,13,3,0,2,1,0,10.3,144.3
20,Karlos Dansby,MIA,ILB,16,101,33,9,1,9,2,9,0,0,0,0,8.8,140.4
21,Russell Allen,JAX,OLB,16,105,24,9,0.5,4,3,6,0,0,1,0,8.7,139.4
22,D'Qwell Jackson,CLE,ILB,16,64,55,4,3.5,4,5,7,2,2,2,1,8.7,138.9
23,Patrick Willis,SF,ILB,16,88,32,5,0.5,4,3,9,2,2,1,0,8.6,137.4
24,Lance Briggs,CHI,OLB,16,74,29,7,1.5,8,2,11,2,2,0,2,8.5,136.3
25,Justin Houston,KC,OLB,16,53,13,13,10,69,19,6,1,1,1,0,8.5,135.4
26,Philip Wheeler,OAK,OLB,16,78,32,5,3,30,12,6,0,2,1,0,8.4,135
27,Larry Foote,PIT,ILB,16,75,38,8,4,29,7,2,0,2,2,0,8.4,133.9
28,Curtis Lofton,NO,ILB,16,82,41,7,1,12,2,7,0,2,2,0,8.4,133.7
29,Akeem Ayers,TEN,OLB,16,66,38,8,6,35,10,8,1,1,0,0,8.3,132.5
30,Perry Riley,WAS,ILB,16,70,55,6,3.5,24,5,7,0,1,1,0,8.2,130.9
31,David Harris,NYJ,LB,16,79,44,4,3,15,7,3,0,1,1,0,8,128.5
32,DeMeco Ryans,PHI,ILB,16,86,27,15,1,13,2,4,1,0,0,0,7.9,126.8
33,AJ Hawk,GB,OLB,16,81,39,9,3,27,5,0,0,0,0,0,7.7,123.2
34,Demarcus Ware,DAL,OLB,16,33,23,9,11.5,65,21,0,0,5,1,0,7.6,122
35,Vontaze Burfict,CIN,OLB,16,73,54,7,1,11,3,2,0,0,2,0,7.6,121.1
36,Stephen Tulloch,DET,ILB,16,74,38,6,0.5,4,5,6,0,1,2,0,7.5,120.4
36,Mason Foster,TB,ILB,16,80,24,13,2,14,3,1,1,0,1,0,7.5,120.4
38,Chase Blackburn,NYG,OLB,15,61,33,6,3,19,7,6,1,4,0,0,8,119.4
39,Ryan Kerrigan,WAS,OLB,16,42,12,10,8.5,52,13,8,1,2,1,1,7.4,119.2
40,Kevin Burnett,MIA,OLB,16,80,30,5,2.5,11,5,5,0,1,0,0,7.4,119.1
41,Jared Allen,MIN,OLB,16,36,10,17,12,63,21,3,0,1,1,0,7.4,118.3
42,Shaun Phillips,LAC,OLB,16,33,17,11,9.5,63,13,3,0,2,3,1,7.3,116.8
43,Sean Weatherspoon,ATL,ILB,13,70,25,6,3,10,7,4,1,1,1,0,8.9,115.5
44,Paris Lenon,ARI,ILB,16,74,30,3,2,13,6,3,1,1,1,0,7.2,115.3
45,John Abraham,ATL,OLB,16,32,3,12,10,75,17,7,0,6,0,0,7.2,115
46,Clay Matthews,GB,OLB,12,32,11,15,13,83,23,2,0,1,0,0,9.6,114.8
47,Nick Barnett,BUF,ILB,16,72,40,6,2,3,1,1,0,3,0,0,7.1,113.3
48,Rob Ninkovich,NE,OLB,16,32,26,9,8,51,10,1,0,5,4,0,7.1,113.1
49,Stephen Nicholas,ATL,OLB,16,71,24,5,2,20,5,4,1,1,1,0,7,112
50,Michael Boley,NYG,OLB,16,64,27,4,0.5,6,3,4,3,0,2,1,6.9,111.1
51,Thomas Davis,CAR,OLB,15,68,35,9,0,0,1,3,1,2,1,0,7.4,110.5
52,Dannell Ellerbe,BAL,ILB,13,66,23,8,4.5,29,8,2,0,1,0,0,8.5,110.4
53,Brandon Spikes,NE,ILB,15,57,35,5,1,2,5,7,0,5,0,0,7.2,108.7
54,Derrick Morgan,TEN,OLB,16,35,24,10,6.5,41,22,6,0,1,1,0,6.8,108.1
55,Ahmad Brooks,SF,OLB,16,36,12,12,6.5,50,15,6,1,2,0,1,6.8,108
56,Justin Durant,DET,ILB,16,82,21,9,0.5,4,2,3,0,0,0,0,6.7,107.9
57,KJ Wright,SEA,OLB,15,66,30,8,1,13,3,5,1,1,0,0,7.1,106.3
58,Rey Maualuga,CIN,ILB,16,62,60,1,1,0,4,4,0,0,1,0,6.6,106
59,Lamarr Houston,OAK,OLB,16,49,20,13,4,34,12,2,0,1,1,0,6.5,103.4
60,Tamba Hali,KC,OLB,15,43,8,13,9,57,14,2,0,1,0,0,6.8,102.7
61,Miles Burris,OAK,OLB,16,62,34,5,1.5,11,8,3,1,0,0,0,6.4,102.1
62,James Harrison,PIT,LB,13,49,21,10,6,26,11,0,0,2,0,0,7.8,101.1
63,Donald Butler,LAC,OLB,12,50,28,5,3,13,5,4,1,2,0,1,8.4,100.3
64,Mark Barron,TB,ILB,16,71,17,4,0,0,0,10,1,1,0,0,6.2,99.5
65,Chris Clemons,MIA,ILB,16,69,26,3,0,0,0,4,2,0,1,0,6.1,98.3
66,Jasper Brinkley,MIN,ILB,16,64,36,2,0,0,2,3,0,3,0,0,6.1,98
67,Brian Urlacher,CHI,LB,12,53,15,8,0,0,0,7,1,2,2,1,8,96.5
68,Dont'a Hightower,NE,LB,14,43,17,10,4,21,9,3,0,0,2,1,6.8,95.6
69,Craig Robertson,CLE,ILB,16,56,27,4,1,10,3,3,2,0,2,0,5.9,94.5
69,Bryan Scott,BUF,OLB,16,45,19,0,0,0,2,8,4,2,2,1,5.9,94.5
71,Erin Henderson,MIN,ILB,14,50,30,7,3,22,4,3,0,1,0,0,6.4,90.2
72,Brad Jones,GB,ILB,16,56,21,7,2,14,3,4,0,1,0,0,5.6,88.9
73,Jason Babin,JAX,OLB,16,28,9,8,7,39,14,1,0,4,1,0,5.5,88.4
74,Rob Jackson,WAS,OLB,16,26,9,9,4.5,22,4,6,4,2,1,1,5.5,87.7
75,DeAndre Levy,DET,OLB,14,56,25,9,0,0,0,3,1,0,1,0,6.2,86.5
76,Connor Barwin,HOU,OLB,16,35,9,12,3,15,17,5,0,0,1,0,5.4,86
77,Mychal Kendricks,PHI,OLB,15,58,17,6,1,5,1,9,0,0,0,0,5.7,85
78,Koa Misi,MIA,OLB,14,47,13,7,3.5,15,5,2,0,2,0,0,5.9,82
79,Sam Acho,ARI,OLB,16,32,13,6,4,18,12,3,2,2,0,0,5.1,81.3
80,Jameel McClain,BAL,ILB,13,57,22,4,0,0,1,3,0,0,1,0,6.1,79
81,Robert Mathis,IND,OLB,12,22,11,9,8,54,13,2,1,1,0,0,6.6,78.9
82,Kelvin Sheppard,BUF,ILB,16,53,24,3,2,17,4,1,0,0,0,0,4.9,78.7
83,Nick Roach,CHI,ILB,16,50,15,5,1.5,11,2,4,0,1,1,0,4.9,78.6
84,Osi Umenyiora,NYG,OLB,16,28,15,7,6,36,12,1,0,2,0,0,4.8,77.1
85,Bradie James,HOU,LB,15,46,31,3,0.5,4,3,2,0,0,2,0,5.1,76.9
