Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,TackleSnapPercentage,SackSnapPercentage,QuarterbackHitSnapPercentage,FantasyPoints,FantasyPointSnapPercentage
1,Keith Reaser,KC,CB,2,50,25,19.8,8,2,2,9,18
2,Budda Baker,ARI,SS,16,517,32.3,48.7,13.3,0.2,0.6,88.5,17.1
3,Mike Hilton,PIT,CB,16,579,36.2,58.9,10.4,0.7,1.4,94,16.2
3,Quinten Rollins,GB,CB,6,139,23.2,19.3,12.2,0,0,22.5,16.2
5,Lardarius Webb,BAL,FS,16,377,23.6,34.5,10.3,0.5,0.5,60,15.9
6,Miles Killebrew,DET,FS,16,352,22,32.3,10.5,0,0.3,53,15.1
7,Reshad Jones,MIA,SS,16,1022,63.9,97,11.8,0.1,0.2,149.5,14.6
8,Desmond King,LAC,CB,16,716,44.8,68.5,10.5,0.6,0.8,104,14.5
9,Adrian Phillips,LAC,FS,15,519,34.6,49.6,11.9,0,0.2,72,13.9
10,Isaiah Johnson,LAR,SS,1,26,26,10.5,23.1,0,0,3.5,13.5
11,Kenny Vaccaro,NO,SS,12,692,57.7,75.9,8.7,0.2,0.3,91.5,13.2
11,Adrian Amos,CHI,FS,13,670,51.5,63.4,10.1,0,0,88.5,13.2
13,Ronald Darby,PHI,CB,8,382,47.8,37.1,8.9,0,0,50,13.1
14,Landon Collins,NYG,SS,15,908,60.5,87,11.5,0,0.2,117.5,12.9
14,Tyvon Branch,ARI,SS,9,578,64.2,76,11.6,0,0.3,74.5,12.9
16,DJ Hayden,DET,CB,16,488,30.5,44.8,8.6,0.1,0.2,62.5,12.8
17,Corey Graham,PHI,FS,14,370,26.4,35.9,10.3,0,0,47,12.7
18,Tavon Wilson,DET,SS,10,545,54.5,74.5,10.1,0.4,0.4,68.5,12.6
18,Jonathan Jones,NE,CB,16,439,27.4,41.3,9.8,0.2,0.2,55.5,12.6
20,Vonn Bell,NO,SS,16,787,49.2,74.2,10.5,0.6,0.8,98.5,12.5
21,Clayton Fejedelem,CIN,SS,16,378,23.6,33.1,13.5,0,0.3,47,12.4
22,Keanu Neal,ATL,SS,16,1045,65.3,99.4,11.1,0,0,128,12.2
22,Donte Deayon,NYG,CB,4,94,23.5,22,10.6,0,0,11.5,12.2
24,Jordan Poyer,BUF,FS,15,1038,69.2,93.9,9.2,0.2,0.2,126,12.1
25,Marshon Lattimore,NO,CB,13,754,58,71.1,6.9,0,0,90.5,12
25,Kenny Moore,IND,CB,16,383,23.9,35.6,9.7,0,0,46,12
27,Sean Davis,PIT,FS,16,950,59.4,96.6,9.7,0.1,0.2,113,11.9
28,Kevin Byard,TEN,FS,16,1087,67.9,99.7,8,0,0.3,126.5,11.6
28,Ryan Smith,TB,CB,15,597,39.8,56.1,10.2,0,0,69.5,11.6
30,K'Waun Williams,SF,CB,14,637,45.5,56.4,8.5,0.2,0.2,73,11.5
31,Antoine Bethea,ARI,FS,15,743,49.5,74,7.7,0.1,0.3,84.5,11.4
31,Justin Simmons,DEN,FS,13,737,56.7,92.4,9.2,0.1,0.3,84,11.4
31,Josh Jones,GB,SS,16,735,45.9,69.8,9.5,0.3,0.3,83.5,11.4
34,Harrison Smith,MIN,FS,16,973,60.8,97.9,8,0.2,0.3,110,11.3
34,Terrance Mitchell,KC,CB,15,706,47.1,64,7.5,0,0,79.5,11.3
34,Shareece Wright,BUF,CB,12,455,37.9,41.1,9.5,0,0,51.5,11.3
37,Chris Conte,TB,FS,16,775,48.4,72.8,9.9,0,0,86.5,11.2
38,TJ Green,IND,FS,16,378,23.6,35.1,11.6,0,0.3,42,11.1
39,Matthias Farley,IND,SS,16,928,58,86.2,10.3,0,0.3,102,11
39,Darqueze Dennard,CIN,CB,16,901,56.3,78.8,9.4,0.2,0.2,99,11
39,Daryl Worley,CAR,CB,15,729,48.6,72.8,8.8,0.1,0.1,80,11
39,Patrick Robinson,PHI,CB,16,710,44.4,68.9,6.5,0.1,0,78,11
39,Captain Munnerlyn,CAR,CB,14,388,27.7,38.8,7.5,0.5,1.3,42.5,11
44,Patrick Chung,NE,SS,16,930,58.1,87.6,8.9,0,0.3,101,10.9
44,Jason McCourty,CLE,CB,14,903,64.5,84.2,7.2,0,0,98.5,10.9
44,EJ Gaines,BUF,CB,11,654,59.5,59.1,9,0,0,71.5,10.9
47,Eric Reid,SF,SS,13,740,56.9,65.5,9.1,0,0.4,80,10.8
48,Glover Quin,DET,FS,16,1055,65.9,96.9,8,0,0,113,10.7
48,Damarious Randall,GB,SS,14,721,51.5,68.5,6.5,0,0,77,10.7
48,John Johnson,LAR,SS,16,718,44.9,68.2,9.7,0,0,76.5,10.7
51,Kendall Fuller,WAS,CB,16,725,45.3,66,7.6,0,0,76.5,10.6
51,Justin Coleman,SEA,CB,16,657,41.1,59.7,6.1,0.2,0.5,69.5,10.6
51,Brian Poole,ATL,CB,15,635,42.3,60.4,9.9,0.2,0.5,67,10.6
51,TJ Ward,TB,SS,12,409,34.1,38.4,10.3,0,0,43.5,10.6
55,Nevin Lawson,DET,CB,15,556,37.1,51.1,8.1,0,0.2,58.5,10.5
56,Darius Slay,DET,CB,16,1065,66.6,97.8,5.6,0,0,111,10.4
56,Daniel Sorensen,KC,FS,15,993,66.2,90,9,0.2,0.7,103,10.4
56,Darryl Roberts,NYJ,CB,15,468,31.2,41.9,8.1,0,0,48.5,10.4
56,Justin Bethel,ARI,CB,16,452,28.2,42.6,8.6,0,0,47,10.4
56,Chidobe Awuzie,DAL,CB,10,312,31.2,30.2,8,0,0,32.5,10.4
61,Andrew Sendejo,MIN,SS,13,780,60,78.5,10.1,0,0,80,10.3
61,Justin Evans,TB,SS,14,716,51.1,76.1,9.1,0,0,74,10.3
61,Lamarcus Joyner,LAR,FS,12,688,57.3,65.3,7.1,0,0,71,10.3
64,Barry Church,JAX,SS,16,990,61.9,95.5,7.5,0.2,0.3,101,10.2
64,Karl Joseph,OAK,SS,15,867,57.8,83.4,9.1,0.1,0.1,88.5,10.2
64,Quandre Diggs,DET,SS,16,788,49.2,72.4,7,0.1,0.3,80,10.2
64,Nickell Robey,LAR,CB,15,658,43.9,62.5,7.4,0,0,67,10.2
64,Jimmy Smith,BAL,CB,12,599,49.9,75.1,4.7,0,0,61,10.2
64,Rashaan Melvin,IND,CB,10,552,55.2,54,6.5,0,0,56.5,10.2
64,Josh Hawkins,GB,CB,15,407,27.1,38.7,9.1,0,0,41.5,10.2
64,Ibraheim Campbell,HOU,SS,9,196,21.8,27.7,8.7,0,0,20,10.2
64,Dymonte Thomas,DEN,FS,2,59,29.5,44.4,13.6,0,0,6,10.2
73,Devin McCourty,NE,FS,16,1032,64.5,97.2,9.3,0.1,0.1,104.5,10.1
73,Derrick Kindred,CLE,FS,14,691,49.4,72.8,8,0,0.3,70,10.1
73,Johnthan Banks,HOU,CB,3,89,29.7,48.9,11.2,0,0,9,10.1
76,Tre'Davious White,BUF,CB,16,1092,68.2,98.7,6.3,0,0,109.5,10
76,James Bradberry,CAR,CB,16,990,61.9,98.9,8.6,0.1,0.1,99,10
76,Kareem Jackson,HOU,SS,16,872,54.5,87.6,8.3,0.1,0.2,87,10
76,Janoris Jenkins,NYG,CB,9,618,68.7,79.3,5,0,0,62,10
76,Byron Maxwell,SEA,CB,9,584,64.9,68,7.9,0,0,58.5,10
81,Trumaine Johnson,LAR,CB,16,938,58.6,89.1,6.9,0,0,93,9.9
81,Earl Thomas,SEA,FS,14,925,66.1,84,9.5,0,0,92,9.9
81,Jeff Heath,DAL,SS,15,881,58.7,85.2,7.6,0,0,87.5,9.9
81,Kurt Coleman,CAR,SS,12,721,60.1,72,10.5,0,0,71.5,9.9
81,Brandon Dixon,NYG,CB,5,257,51.4,79.8,8.2,0,0,25.5,9.9
86,Jaquiski Tartt,SF,SS,9,596,66.2,73.9,9.1,0.1,0.3,58.5,9.8
86,Leshaun Sims,TEN,CB,13,430,33.1,44.7,7.9,0,0,42,9.8
86,Rasul Douglas,PHI,CB,14,420,30,40.7,6,0,0,41,9.8
86,Robert Nelson,NYJ,CB,2,41,20.5,12.4,9.8,0,0,4,9.8
90,Micah Hyde,BUF,SS,16,1065,66.6,96.3,7.7,0,0,103.5,9.7
90,Marcus Peters,KC,CB,14,967,69.1,92.8,4.8,0,0,94,9.7
90,Morgan Burnett,GB,SS,12,728,60.7,69.1,9.3,0,0.1,70.5,9.7
90,Robert McClain,TB,CB,14,695,49.6,65.3,7.1,0,0,67.5,9.7
90,Ross Cockrell,NYG,CB,16,681,42.6,61.9,7.3,0,0,66,9.7
90,Bradley Roby,DEN,CB,16,677,42.3,68.7,6.2,0.1,0.1,65.5,9.7
90,Pierre Desir,IND,CB,9,375,41.7,46.7,8.5,0,0,36.5,9.7
97,Eric Weddle,BAL,FS,16,1085,67.8,99.4,5.8,0.1,0.2,104,9.6
97,Tyrann Mathieu,ARI,FS,16,1056,66,99.4,7.3,0.1,0.4,101,9.6
97,Jahleel Addae,LAC,FS,16,1032,64.5,98.7,9.3,0,0.1,99.5,9.6
97,Byron Jones,DAL,CB,16,910,56.9,88,8.8,0,0.2,87,9.6
97,Deshazor Everett,WAS,SS,14,591,42.2,53.8,9.8,0,0.2,56.5,9.6
97,Shawn Williams,CIN,SS,11,580,52.7,50.7,8.3,0,0.2,55.5,9.6
97,Eric Murray,KC,FS,14,439,31.4,39.8,7.7,0.2,0.2,42,9.6
97,Maurice Canady,BAL,CB,8,319,39.9,29.2,8.5,0,0.6,30.5,9.6
105,Eddie Jackson,CHI,SS,16,1055,65.9,99.9,6.8,0,0,100.5,9.5
105,Travis Carrie,OAK,CB,16,1024,64,98.5,8.2,0,0.1,97,9.5
107,Jamal Adams,NYJ,SS,16,1103,68.9,98.7,7.5,0.2,0.2,104,9.4
107,DJ Swearinger,WAS,FS,16,1095,68.4,99.6,7.2,0.1,0.1,102.5,9.4
107,Adoree` Jackson,TEN,CB,16,1022,63.9,93.8,6.8,0,0,96.5,9.4
107,Malcolm Jenkins,PHI,SS,16,948,59.2,91.9,7.7,0.1,0.2,89,9.4
107,Jalen Mills,PHI,CB,15,932,62.1,90.4,6.9,0,0,87.5,9.4
107,Xavier Woods,DAL,FS,16,550,34.4,53.2,7.6,0,0.7,51.5,9.4
107,Adam Jones,CIN,CB,9,298,33.1,34.5,7.7,0,0,28,9.4
114,Mike Adams,CAR,FS,16,967,60.4,96.6,7.1,0,0.2,89.5,9.3
114,Trae Waynes,MIN,CB,16,918,57.4,92.4,7,0.1,0.1,85.5,9.3
114,Anthony Brown,DAL,CB,16,845,52.8,81.7,6.6,0.1,0.2,78.5,9.3
114,Brad McDougald,SEA,SS,16,681,42.6,61.9,10,0,0,63.5,9.3
114,Eli Apple,NYG,CB,11,649,59,62.2,7.6,0,0.2,60.5,9.3
114,Dexter McDonald,OAK,CB,15,534,35.6,51.3,8.1,0,0,49.5,9.3
114,Bryce Callahan,CHI,CB,12,512,42.7,48.5,4.9,0.2,0.2,47.5,9.3
114,Eric Berry,KC,FS,1,70,70,9.2,10,0,0,6.5,9.3
122,Kyle Fuller,CHI,CB,16,1015,63.4,96.1,6.6,0,0,93,9.2
122,Leonard Johnson,BUF,CB,15,673,44.9,60.8,7.9,0,0,62,9.2
122,Nate Hairston,IND,CB,14,536,38.3,49.8,6.5,0.4,0.6,49.5,9.2
122,Juston Burris,NYJ,CB,14,336,24,30.1,6,0,0,31,9.2
122,DeAngelo Hall,WAS,FS,5,158,31.6,14.4,8.9,0,0,14.5,9.2
127,Tramon Williams,ARI,CB,13,670,51.5,63.1,6.1,0,0,61,9.1
127,Curtis Riley,TEN,FS,7,164,23.4,15,7.3,0,0,15,9.1
129,Andre Hal,HOU,FS,16,943,58.9,94.7,7.5,0,0.1,85,9
129,Dre Kirkpatrick,CIN,CB,14,871,62.2,76.2,6.3,0.1,0.1,78.5,9
129,PJ Williams,NO,CB,16,633,39.6,59.7,7.4,0,0,57,9
129,Jonathan Cyprien,TEN,SS,10,605,60.5,55.5,9.4,0.2,0.2,54.5,9
129,Vernon Hargreaves,TB,CB,9,501,55.7,53.2,8.2,0,0,45,9
129,Kentrell Brice,GB,SS,6,289,48.2,40.1,7.6,0,0,26,9
135,AJ Bouye,JAX,CB,16,1015,63.4,97.9,5.5,0,0,90.5,8.9
135,Buster Skrine,NYJ,CB,15,1013,67.5,90.6,6.2,0.1,0.2,90,8.9
135,Jalen Ramsey,JAX,CB,16,998,62.4,96.2,6.3,0,0,89,8.9
135,Bobby McCain,MIA,CB,16,668,41.8,63.4,6.9,0.1,0.1,59.5,8.9
135,Steven Nelson,KC,CB,9,514,57.1,46.6,8,0,0,46,8.9
135,Troy Hill,LAR,CB,12,269,22.4,25.5,6.7,0,0,24,8.9
135,Leon Hall,SF,CB,9,209,23.2,30.9,7.7,0,0.5,18.5,8.9
142,Tre Boston,LAC,S,16,1041,65.1,99.5,7.6,0,0,91.5,8.8
142,Dontae Johnson,SF,CB,16,1029,64.3,91.1,7.5,0,0,91,8.8
142,Marcus Williams,NO,FS,15,960,64,90.6,7.5,0,0,84,8.8
142,Shaquill Griffin,SEA,CB,15,877,58.5,79.7,6.6,0.1,0.1,77,8.8
142,Jourdan Lewis,DAL,CB,15,748,49.9,72.3,7.2,0,0,66,8.8
147,Ken Crawley,NO,CB,13,822,63.2,77.5,6.6,0,0,71.5,8.7
147,Johnathan Joseph,HOU,CB,16,748,46.8,75.1,6.3,0,0,65,8.7
147,Will Parks,DEN,SS,16,597,37.3,60.6,8.2,0,0.2,52,8.7
147,Leon McQuay III,KC,FS,1,46,46,24.7,6.5,0,0,4,8.7
151,Rodney McLeod,PHI,FS,14,846,60.4,82.1,6.4,0,0,72.5,8.6
152,Ha'Sean Clinton-Dix,GB,FS,16,1048,65.5,99.5,7.5,0,0,89,8.5
153,Reggie Nelson,OAK,FS,16,1027,64.2,98.8,8.6,0,0,86.5,8.4
153,Tashaun Gipson,JAX,FS,16,1020,63.8,98.4,6.3,0,0,85.5,8.4
153,Desmond Trufant,ATL,CB,15,902,60.1,85.8,4.5,0.1,0.1,75.5,8.4
153,Darian Stewart,DEN,SS,16,891,55.7,90.5,7.1,0,0,74.5,8.4
153,Brent Grimes,TB,CB,13,850,65.4,79.8,5.8,0,0,71.5,8.4
153,Marlon Humphrey,BAL,CB,16,596,37.2,54.6,5.7,0,0,50,8.4
153,Kayvon Webster,LAR,CB,11,550,50,63.7,6.9,0,0,46,8.4
153,TJ McDonald,MIA,FS,8,547,68.4,51.9,8.2,0,0,46,8.4
153,Adrian Colbert,SF,FS,14,536,38.3,47.4,6.5,0,0,45,8.4
162,Robert Alford,ATL,CB,16,1043,65.2,99.2,6.4,0,0,86.5,8.3
162,Malcolm Butler,NE,CB,16,1040,65,97.9,5.8,0.1,0.2,86.5,8.3
