Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,TackleSnapPercentage,SackSnapPercentage,QuarterbackHitSnapPercentage,FantasyPoints,FantasyPointSnapPercentage
1,Von Miller,DEN,OLB,16,962,60.1,89.9,7.1,1.9,2.5,192.4,20
2,Zach Brown,TEN,ILB,16,742,46.4,65.8,12.5,0.7,1.1,147.8,19.9
3,Sean Lee,DAL,OLB,6,313,52.2,90.2,18.5,0,0.3,60,19.2
4,Luke Kuechly,CAR,ILB,16,921,57.6,87.6,17.8,0.1,0.1,171.9,18.7
5,Keith Rivers,NYG,OLB,11,233,21.2,22.3,18.9,0,0.9,41.5,17.8
6,Demorrio Williams,LAC,LB,14,358,25.6,33.9,14,0,0.8,63.5,17.7
7,Daryl Washington,ARI,ILB,16,1058,66.1,98,12.7,0.9,1,186.1,17.6
8,Kavell Conner,IND,ILB,14,324,23.1,30.7,16.7,0.3,0.6,55.5,17.1
9,Aldon Smith,SF,OLB,16,1003,62.7,96,6.6,1.9,2.8,170.5,17
9,Bobby Wagner,SEA,ILB,16,850,53.1,85.9,16.5,0.2,0.6,144.6,17
9,Anthony Spencer,DAL,OLB,14,847,60.5,82.3,11.2,1.3,1.5,144.3,17
9,Dannell Ellerbe,BAL,ILB,13,651,50.1,57.3,14.1,0.7,1.2,110.4,17
13,AJ Hawk,GB,OLB,16,734,45.9,67.5,16.3,0.4,0.7,123.2,16.8
13,Dont'a Hightower,NE,LB,14,568,40.6,51.9,10.6,0.7,1.6,95.6,16.8
15,Wesley Woodyard,DEN,ILB,15,877,58.5,82,13.3,0.6,0.8,144.7,16.5
16,Lawrence Timmons,PIT,OLB,16,984,61.5,99.8,10.8,0.6,1.4,160.6,16.3
16,Mason Foster,TB,ILB,16,739,46.2,68.8,14.3,0.3,0.4,120.4,16.3
18,Bryan Scott,BUF,OLB,16,590,36.9,54.3,11.4,0,0.3,94.5,16
19,Brian Orakpo,WAS,OLB,2,83,41.5,59.3,6,1.2,0,13.2,15.9
20,Clay Matthews,GB,OLB,12,727,60.6,66.8,5.9,1.8,3.2,114.8,15.8
20,Bront Bird,LAC,ILB,5,111,22.2,32.4,16.2,0,0,17.5,15.8
22,Derrick Johnson,KC,ILB,16,963,60.2,96.5,12.9,0.2,0.5,151.5,15.7
22,John Abraham,ATL,OLB,16,732,45.8,71.6,4.8,1.4,2.3,115,15.7
22,Junior Galette,NO,OLB,12,298,24.8,26.2,6.7,1.7,3,46.7,15.7
25,Kelvin Sheppard,BUF,ILB,16,504,31.5,46.4,15.9,0.4,0.8,78.7,15.6
26,Lavonte David,TB,OLB,16,1059,66.2,98.6,13.1,0.2,0.4,162.9,15.4
26,Akeem Ayers,TEN,OLB,16,861,53.8,76.4,12.1,0.7,1.2,132.5,15.4
26,Craig Robertson,CLE,ILB,16,612,38.2,52.7,15.2,0.2,0.5,94.5,15.4
29,London Fletcher,WAS,ILB,16,1008,63,93.9,13.8,0.3,0.4,154.7,15.3
