Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPoints,FantasyPointSnapPercentage
1,Deshaun Watson,HOU,QB,7,464,66.3,59.4,7.8,0,51.7,51.7,168.86,36.4
2,Russell Wilson,SEA,QB,16,1063,66.4,99.5,8.9,0,61,61,347.92,32.7
3,Carson Wentz,PHI,QB,13,879,67.6,93.9,7.3,0,57.3,57.3,281.74,32.1
4,Aaron Rodgers,GB,QB,7,418,59.7,53.5,5.7,0,62.7,62.7,129.6,31
5,Alex Smith,KC,QB,15,966,64.4,93.5,6.2,0,58.5,58.5,295.18,30.6
6,Sam Bradford,MIN,QB,2,91,45.5,11.8,2.2,0,49.5,49.5,26.98,29.6
7,Cam Newton,CAR,QB,16,1063,66.4,98.5,13.1,0,59.4,59.4,299.48,28.2
8,Kirk Cousins,WAS,QB,16,1012,63.2,99.5,4.8,0,58.2,58.2,277.62,27.4
9,Jared Goff,LAR,QB,15,939,62.6,90.2,3,0,53.8,53.8,255.26,27.2
10,David Fales,MIA,QB,2,72,36,10.9,5.6,0,65.3,65.3,19.4,26.9
11,Tom Brady,NE,QB,16,1118,69.9,98,2.2,0,54.2,54.2,295.88,26.5
12,Matthew Stafford,DET,QB,16,1035,64.7,99.1,2.8,0,57.4,57.4,273.64,26.4
13,Philip Rivers,LAC,QB,16,1028,64.2,96.6,1.8,0,57.7,57.7,270.4,26.3
14,Drew Brees,NO,QB,16,1034,64.6,99.5,3.2,0,55,55,262.56,25.4
14,Jameis Winston,TB,QB,13,795,61.2,72.7,4.2,0,59.7,59.7,201.66,25.4
16,Kevin Hogan,CLE,QB,4,134,33.5,12.5,7.5,0,63.4,63.4,33.78,25.2
17,Ben Roethlisberger,PIT,QB,15,1038,69.2,93.7,2.7,0,56.7,56.7,260.74,25.1
17,Josh McCown,NYJ,QB,13,819,63,97.5,4.5,0,53,53,205.44,25.1
19,Dak Prescott,DAL,QB,16,1053,65.8,98.6,5.4,0,51.9,51.9,260.66,24.8
20,Ryan Fitzpatrick,TB,QB,6,299,49.8,27.3,5,0,59.5,59.5,73.92,24.7
21,Jimmy Garoppolo,SF,QB,6,353,58.8,30.7,4.2,0.3,55,55,86.9,24.6
22,Tyrod Taylor,BUF,QB,15,931,62.1,88.2,9,0,54.1,54.1,222.66,23.9
23,Case Keenum,MIN,QB,15,1016,67.7,90.9,3.9,0,51.3,51.3,237.88,23.4
24,CJ Beathard,SF,QB,7,390,55.7,35.3,6.7,0,64.1,64.1,88.8,22.8
25,Blake Bortles,JAX,QB,16,1110,69.4,98,5.1,0,52.3,52.3,249.68,22.5
26,Andy Dalton,CIN,QB,16,941,58.8,97.3,4,0,56.7,56.7,210.7,22.4
27,Marcus Mariota,TEN,QB,15,945,63,92.3,6.3,0,54.3,54.3,210.48,22.3
27,Carson Palmer,ARI,QB,7,459,65.6,59.6,3.1,0,61.2,61.2,102.32,22.3
29,Matt Ryan,ATL,QB,16,1026,64.1,100,3.1,0,54.7,54.7,228.1,22.2
30,Derek Carr,OAK,QB,15,937,62.5,92.5,2.5,0,57.4,57.4,206.44,22
31,Jacoby Brissett,IND,QB,16,989,61.8,96,6.4,0,53.8,53.8,205.92,20.8
32,Jay Cutler,MIA,QB,14,764,54.6,73.5,2.5,0,58.6,58.6,157.84,20.7
33,Matt Moore,MIA,QB,4,203,50.8,19.5,1.5,0,64,64,41.34,20.4
34,Deshone Kizer,CLE,QB,15,887,59.1,83,8.7,0,62.3,62.3,175.66,19.8
34,Brett Hundley,GB,QB,11,622,56.5,59.4,5.8,0.2,56.8,56.8,123.44,19.8
36,Brock Osweiler,DEN,QB,6,350,58.3,31.1,3.7,0,52.9,52.9,68.12,19.5
37,Nate Sudfeld,PHI,QB,1,40,40,7,2.5,0,60,60,7.56,18.9
38,Trevor Siemian,DEN,QB,11,677,61.5,68.7,4.6,0,56.1,56.1,126.1,18.6
38,EJ Manuel,OAK,QB,2,76,38,7.5,2.6,0,59.2,59.2,14.1,18.6
40,Mitch Trubisky,CHI,QB,12,726,60.5,73.3,5.6,0,51.1,51.1,134.52,18.5
41,Eli Manning,NYG,QB,15,1018,67.9,93.9,1.2,0,57.3,57.3,187.32,18.4
42,Joe Flacco,BAL,QB,16,1027,64.2,94.6,2.4,0,55.9,55.9,185.04,18
43,Blaine Gabbert,ARI,QB,5,345,69,30.7,6.4,0,55.9,55.9,61.64,17.9
44,Ryan Mallett,BAL,QB,2,59,29.5,5.4,6.8,0,33.9,33.9,9.94,16.8
45,Brian Hoyer,NE,QB,11,384,34.9,35.1,2.3,0,57.3,57.3,63.88,16.6
46,TJ Yates,HOU,QB,4,206,51.5,30.4,2.4,0,49.5,49.5,34.02,16.5
