Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPoints,FantasyPointSnapPercentage
1,Ryan Mathews,LAC,RB,16,471,29.4,42.4,60.5,7,66,67.5,184.4,39.2
2,Jamaal Charles,KC,RB,15,845,56.3,78.3,30.7,12.3,38.9,43,308,36.4
3,Edwin Baker,CLE,RB,3,97,32.3,51.3,44.3,9.3,52.6,53.6,34.8,35.9
4,Stevan Ridley,NE,RB,14,333,23.8,27.8,53.5,3.6,56.5,57.1,117.5,35.3
5,Ahmad Bradshaw,IND,RB,3,102,34,29.9,40.2,7.8,47.1,48,34.8,34.1
6,Marshawn Lynch,SEA,RB,16,711,44.4,70.3,42.3,6.2,47.4,48.5,239.3,33.7
6,Knowshon Moreno,DEN,RB,16,703,43.9,58.2,34.3,10.5,42.8,44.8,236.6,33.7
8,Donald Brown,IND,RB,16,373,23.3,34.9,27.3,9.4,34.6,36.7,123.1,33
9,Brandon Jacobs,NYG,RB,7,143,20.4,18.4,40.6,4.9,42,45.5,47.1,32.9
10,Jonathan Grimes,HOU,RB,2,58,29,46,36.2,10.3,46.6,46.6,18.9,32.6
11,LeSean McCoy,PHI,RB,16,872,54.5,79.1,36,7.3,42,43.3,278.6,31.9
12,CJ Spiller,BUF,RB,15,389,25.9,33.5,51.7,10.5,60.4,62.2,122.4,31.5
13,Andre Ellington,ARI,RB,15,405,27,37.4,29.1,14.1,38.8,43.2,126.3,31.2
14,Chris Ivory,NYJ,RB,15,331,22.1,31.5,55,2.1,55.6,57.1,102.3,30.9
15,Eddie Lacy,GB,RB,15,679,45.3,60.5,41.8,6.5,47,48.3,207.5,30.6
15,DeMarco Murray,DAL,RB,14,671,47.9,67.3,32.3,9.8,40.2,42.2,205.1,30.6
17,Reggie Bush,DET,RB,14,611,43.6,53.8,36.5,13.1,45.3,49.6,185.2,30.3
18,Adrian Peterson,MIN,RB,14,674,48.1,64.7,41.4,5.9,45.7,47.3,203.7,30.2
19,Danny Woodhead,LAC,RB,16,491,30.7,44.2,21.6,17.7,37.1,39.3,147.4,30
20,Shane Vereen,NE,RB,8,294,36.8,47,15,23.5,31,38.4,87.5,29.8
21,Joique Bell,DET,RB,16,554,34.6,48.8,30,12.5,39.5,42.4,163.7,29.5
22,DeAngelo Williams,CAR,RB,15,470,31.3,45.7,42.8,7.7,48.3,50.4,137.6,29.3
23,Bobby Rainey,TB,RB,16,327,20.4,31.6,45.9,5.8,50.8,52,95.2,29.1
24,Darren Sproles,NO,RB,15,357,23.8,31.7,14.8,24.9,34.7,39.8,102.4,28.7
25,Matt Forte,CHI,RB,16,928,58,87.8,31,10.2,39.1,41.3,263.3,28.4
26,Fred Jackson,BUF,RB,16,663,41.4,57.1,31.2,9.8,38.2,41,187.1,28.2
27,Alfred Morris,WAS,RB,16,604,37.8,52.8,45.7,2,47.2,47.7,169.3,28
28,Zac Stacy,LAR,RB,14,566,40.4,56.4,44.2,6.2,48.8,50.4,157.4,27.8
29,Steven Jackson,ATL,RB,12,417,34.8,38.7,37.4,11.8,45.3,49.2,115.3,27.6
30,Rashard Mendenhall,ARI,RB,15,459,30.6,42.3,47.3,4.6,51.2,51.9,126.1,27.5
31,Giovani Bernard,CIN,RB,16,613,38.3,54.2,27.7,11.6,36.9,39.3,166.9,27.2
32,Arian Foster,HOU,RB,8,327,40.9,49.8,37,10.7,43.7,47.7,86.5,26.5
33,Le'Veon Bell,PIT,RB,13,677,52.1,64.4,36,9.7,42.7,45.8,171.9,25.4
34,Rashad Jennings,OAK,RB,15,548,36.5,52.9,29.7,8.6,36.3,38.3,138.5,25.3
35,BenJarvus Green-Ellis,CIN,RB,16,464,29,41,47.4,1.7,48.3,49.1,115.8,25
36,Chris Johnson,TEN,RB,16,798,49.9,74.2,35,6.5,40.2,41.5,198.2,24.8
37,Darren McFadden,OAK,RB,10,336,33.6,32.4,33.9,7.4,39.3,41.7,81.34,24.2
38,Pierre Thomas,NO,RB,16,564,35.2,50,26.1,14.9,39.7,41,134.2,23.8
38,Daniel Thomas,MIA,RB,15,348,23.2,33.9,31.3,4.9,35.6,36.2,82.9,23.8
40,Frank Gore,SF,RB,16,744,46.5,75.1,37.1,3.5,39.2,40.6,174.9,23.5
41,Ben Tate,HOU,RB,14,481,34.4,48.3,37.6,10.2,44.7,47.8,111.1,23.1
42,Brandon Bolden,NE,RB,12,269,22.4,22.5,20.4,10.8,28.3,31.2,60.3,22.4
43,Maurice Jones-Drew,JAX,RB,15,647,43.1,61.2,36.2,9.3,43,45.6,144.02,22.3
44,Peyton Hillis,NYG,RB,7,202,28.9,26.4,36.1,10.4,42.6,46.5,44.3,21.9
45,Jacquizz Rodgers,ATL,RB,15,435,29,40.4,22.3,14.3,34.3,36.6,89.4,20.6
46,Andre Brown,NYG,RB,8,360,45,72.4,38.6,8.1,44.2,46.7,73.5,20.4
47,Willis McGahee,CLE,RB,12,264,22,27.3,52.3,4.2,55.3,56.4,49.7,18.8
48,Trent Richardson,IND,RB,16,593,37.1,54.8,31.7,8.8,37.6,40.5,109.9,18.5
48,Doug Martin,TB,RB,6,304,50.7,54.3,41.8,7.9,45.7,49.7,56.2,18.5
50,Ray Rice,BAL,RB,15,703,46.9,61.9,30.4,10.4,38.7,40.8,120.1,17.1
51,Bilal Powell,NYJ,RB,16,618,38.6,58.8,28.5,9.2,34.5,37.9,104.1,16.8
51,Da'Rel Scott,NYG,RB,5,140,28,45.5,14.3,13.6,22.1,27.9,23.5,16.8
53,Bernard Pierce,BAL,RB,16,398,24.9,35,38.2,6.3,43.2,44.5,66,16.6
53,Daryl Richardson,LAR,RB,8,203,25.4,20.2,34,8.9,40.9,42.9,33.6,16.6
55,Mike Tolbert,CAR,FB,16,599,37.4,58.2,16.9,5.5,21.4,22.4,96.5,16.1
56,Marcel Reece,OAK,FB,16,505,31.6,48.7,9.1,10.7,15.6,20,79.78,15.8
57,Lamar Miller,MIA,RB,16,623,38.9,60.7,28.4,5.6,32.6,34,97.9,15.7
57,David Wilson,NYG,RB,5,111,22.2,21,39.6,5.4,41.4,45,17.4,15.7
59,Vick Ballard,IND,RB,1,39,39,70.9,33.3,5.1,35.9,38.5,5.8,14.9
60,Roy Helu,WAS,RB,16,527,32.9,46.1,11.8,8,17.6,19.7,76.5,14.5
61,Chris Ogbonnaya,CLE,RB,16,521,32.6,47.1,9.2,14.4,18.4,23.6,66.2,12.7
62,Dexter McCluster,KC,RB,15,581,38.7,53.8,1.4,14.3,10.5,15.7,63.6,10.9
63,Stanley Havili,IND,FB,13,328,25.2,30.7,2.1,6.4,7.6,8.5,19.5,5.9
64,Anthony Sherman,KC,FB,16,386,24.1,35.8,0.5,6.2,5.2,6.7,19.8,5.1
65,Bruce Miller,SF,FB,14,519,37.1,59.3,1.3,6.9,6.2,8.3,25.6,4.9
65,John Kuhn,GB,FB,15,322,21.5,28.7,3.1,5.9,7.1,9,15.9,4.9
67,James Develin,NE,RB,16,322,20.1,26.9,1.2,1.2,2.5,2.5,13.2,4.1
68,Jed Collins,NO,FB,16,442,27.6,39.2,3.4,4.1,6.6,7.5,15.9,3.6
69,Tommy Bohanon,NYJ,FB,16,371,23.2,35.3,4.6,4.3,7.5,8.9,13.1,3.5
70,Erik Lorig,TB,FB,15,383,25.5,37,0,3.7,2.9,3.7,4.7,1.2
70,Jerome Felton,MIN,FB,13,301,23.2,35.7,0,2.7,2,2.7,3.7,1.2
70,Zach Line,MIN,FB,3,68,22.7,34.3,0,4.4,1.5,4.4,0.8,1.2
73,Greg Jones,HOU,RB,16,329,20.6,29.3,0.6,3.3,2.1,4,3.6,1.1
