Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPoints,FantasyPointSnapPercentage
1,Julio Jones,ATL,WR,16,932,58.2,81.8,0,21.8,14.6,21.8,245.1,26.3
2,Antonio Brown,PIT,WR,16,1002,62.6,93.2,0.3,19.3,13.9,19.6,246.2,24.6
3,Steve Smith,BAL,WR,7,349,49.9,60.9,0,20.9,13.2,20.9,85,24.4
4,Doug Baldwin,SEA,WR,16,801,50.1,74,0,12.9,9.7,12.9,190.9,23.8
5,Martavis Bryant,PIT,WR,11,511,46.5,67.1,1,18,10.8,19,120.2,23.5
6,Allen Robinson,JAX,WR,16,983,61.4,92.9,0,15.4,8.1,15.4,224,22.8
7,Odell Beckham Jr,NYG,WR,15,999,66.6,94.9,0.1,15.8,9.7,15.9,223.3,22.4
8,Sammy Watkins,BUF,WR,13,714,54.9,66.4,0.1,13.4,8.5,13.6,158.8,22.2
9,Brandon Marshall,NYJ,WR,16,1062,66.4,95.3,0,16.3,10.3,16.3,230.2,21.7
10,Julian Edelman,NE,WR,9,525,58.3,46.9,0.6,16.8,12.2,17.3,111.5,21.2
11,Ted Ginn,CAR,WR,15,670,44.7,60.8,0.6,14.3,7.2,14.9,139.9,20.9
12,Alshon Jeffery,CHI,WR,9,506,56.2,48.9,0,18.6,10.7,18.6,104.7,20.7
12,DeSean Jackson,WAS,WR,10,361,36.1,33.7,0,13.6,8.3,13.6,74.8,20.7
14,AJ Green,CIN,WR,16,936,58.5,88.3,0,14.1,9.2,14.1,187.7,20.1
15,DeAndre Hopkins,HOU,WR,16,1153,72.1,96.9,0,16.7,9.6,16.7,220.1,19.1
15,Eric Decker,NYJ,WR,15,906,60.4,81.3,0,14.6,8.8,14.6,172.7,19.1
17,Jeremy Maclin,KC,WR,15,828,55.2,82.6,0.4,15,10.9,15.3,156.2,18.9
17,Tavon Austin,LAR,WR,16,744,46.5,77.3,7,11.7,14,18.7,140.7,18.9
19,Allen Hurns,JAX,WR,15,865,57.7,81.8,0,12.1,7.4,12.1,161.1,18.6
20,Michael Floyd,ARI,WR,15,652,43.5,59.1,0,13.7,8,13.7,120.9,18.5
21,Jarvis Landry,MIA,WR,16,869,54.3,84,2.1,19.1,14.8,21.3,159.36,18.3
21,John Brown,ARI,WR,15,780,52,70.7,0.4,12.9,8.7,13.3,142.5,18.3
23,Michael Crabtree,OAK,WR,16,813,50.8,76.7,0,18,10.5,18,146.2,18
24,Brandin Cooks,NO,WR,16,961,60.1,82.8,0.8,13.4,9.6,14.3,169.6,17.6
25,Larry Fitzgerald,ARI,WR,16,984,61.5,89.1,0,14.7,11.1,14.7,171.5,17.4
25,Rishard Matthews,MIA,WR,11,521,47.4,54.3,0.2,11.7,8.4,11.9,90.6,17.4
27,Calvin Johnson,DET,WR,16,1005,62.8,92.8,0,14.8,8.8,14.8,173.4,17.3
27,Demaryius Thomas,DEN,WR,16,938,58.6,84.5,0,18.9,11.2,18.9,162.4,17.3
27,Emmanuel Sanders,DEN,WR,15,860,57.3,77.5,0.3,15.9,9.2,16.3,148.4,17.3
27,Keenan Allen,LAC,WR,8,545,68.1,90.1,0,16.3,12.3,16.3,94.5,17.3
31,Jerricho Cotchery,CAR,WR,14,419,29.9,38,0.2,12.9,9.5,13.1,68.1,16.3
32,Mike Evans,TB,WR,15,859,57.3,78.4,0,17.2,8.6,17.2,136.6,15.9
33,Jordan Matthews,PHI,WR,16,920,57.5,79.4,0,13.9,9.2,13.9,145.7,15.8
34,Amari Cooper,OAK,WR,16,904,56.5,85.3,0.3,14.4,8.3,14.7,140.7,15.6
35,T.Y. Hilton,IND,WR,16,927,57.9,83.8,0,14.5,7.4,14.5,142.4,15.4
35,Tyler Lockett,SEA,WR,16,665,41.6,61.4,0.8,10.4,8.4,11.1,102.4,15.4
37,Markus Wheaton,PIT,WR,16,699,43.7,65,0,11.3,6.3,11.3,106.9,15.3
37,Devin Funchess,CAR,WR,16,493,30.8,44.7,0,12.8,6.3,12.8,75.3,15.3
39,Devante Parker,MIA,WR,15,473,31.5,45.7,0,10.8,5.7,10.8,70.9,15
40,Stefon Diggs,MIN,WR,13,654,50.3,63.9,0.5,12.8,8.4,13.3,97.3,14.9
41,Willie Snead,NO,WR,15,781,52.1,67.3,0,12.9,8.8,12.9,114.4,14.6
41,Kendall Wright,TEN,WR,10,413,41.3,39.8,1.2,14.5,9.9,15.7,60.5,14.6
43,Travis Benjamin,CLE,WR,16,854,53.4,77,0.5,14.6,8.4,15.1,123.8,14.5
43,Danny Amendola,NE,WR,14,576,41.1,51.5,0.3,15.1,11.8,15.6,83.34,14.5
45,Seth Roberts,OAK,WR,16,567,35.4,53.5,0,9.7,5.6,9.7,80,14.1
45,Cole Beasley,DAL,WR,16,563,35.2,54.8,0,13.3,9.2,13.3,79.6,14.1
47,Pierre Garcon,WAS,WR,16,812,50.8,75.8,0,13.7,8.9,13.7,113.7,14
47,Leonard Hankerson,BUF,WR,10,362,36.2,38.3,0,12.7,7.2,12.7,50.7,14
49,Dorial Green-Beckham,TEN,WR,16,580,36.2,55.9,0,11.6,5.5,11.6,80.9,13.9
49,Vincent Jackson,TB,WR,10,535,53.5,52.4,0,11.6,6.2,11.6,74.3,13.9
51,Bryan Walters,JAX,WR,11,313,28.5,31.8,0,14.4,10.5,14.7,42.8,13.7
52,James Jones,GB,WR,16,1045,65.3,91,0,9.5,4.8,9.5,141,13.5
53,Marques Colston,NO,WR,13,570,43.8,49.1,0,11.8,7.9,11.8,76,13.3
53,Brandon Coleman,NO,WR,16,431,26.9,37.1,0,11.4,7,11.4,57.4,13.3
55,Anquan Boldin,SF,WR,14,763,54.5,75.1,0,14.5,9,14.5,100.9,13.2
55,Kenny Britt,LAR,WR,16,651,40.7,67.7,0,11.1,5.5,11.1,86.1,13.2
57,Kamar Aiken,BAL,WR,16,937,58.6,82.5,0,13.6,8,13.6,122.4,13.1
57,Donte Moncrief,IND,WR,16,837,52.3,75.7,0,12.5,7.6,12.5,109.3,13.1
57,Dez Bryant,DAL,WR,9,444,49.3,46.2,0,16.2,7,16.2,58.1,13.1
60,Golden Tate,DET,WR,16,929,58.1,85.8,0.6,13.8,10.3,14.4,119.4,12.9
60,Terrance Williams,DAL,WR,16,790,49.4,76.8,0,11.8,6.6,11.8,102,12.9
60,Andre Holmes,OAK,WR,16,342,21.4,32.3,0,9.6,4.1,9.6,44.1,12.9
60,Percy Harvin,BUF,WR,5,240,48,50.8,2.1,12.5,10,14.6,30.9,12.9
64,Rueben Randle,NYG,WR,16,996,62.2,89.4,0,9,5.7,9,127.7,12.8
65,Jermaine Kearse,SEA,WR,16,774,48.4,71.5,0,8.8,6.3,8.8,98.5,12.7
66,Randall Cobb,GB,WR,16,1050,65.6,91.5,1.2,12.3,8.8,13.5,129.9,12.4
66,Brian Hartline,CLE,WR,12,518,43.2,57.4,0,14.9,8.9,14.9,64.3,12.4
68,Jaelen Strong,HOU,WR,10,282,28.2,23.7,0,8.5,5,8.5,34.1,12.1
69,Marvin Jones,CIN,WR,16,905,56.6,85.4,0.6,11.4,7.7,11.9,108.9,12
69,Cecil Shorts,HOU,WR,11,568,51.6,47.7,1.8,13.2,9.3,15.1,67.94,12
69,Marqise Lee,JAX,WR,10,240,24,22.7,2.1,13.3,8.3,15.4,28.9,12
72,Torrey Smith,SF,WR,16,776,48.5,76.4,0,8,4.3,8,92.3,11.9
73,Steve Johnson,LAC,WR,10,594,59.4,50.6,0,10.9,7.6,10.9,67.7,11.4
74,Nate Washington,HOU,WR,14,798,57,67.1,0,11.8,5.9,11.8,89.8,11.3
75,Quinton Patton,SF,WR,16,425,26.6,41.8,0.2,13.4,7.3,13.6,45.9,10.8
75,Darrius Heyward-Bey,PIT,WR,16,401,25.1,37.3,0,9.7,5.2,9.7,43.4,10.8
77,Andre Johnson,IND,WR,16,711,44.4,64.3,0,10.8,5.8,10.8,74.3,10.5
77,Jarius Wright,MIN,WR,16,431,26.9,42.1,0.2,11.6,8.1,11.8,45.1,10.5
79,Dwayne Harris,NYG,WR,15,624,41.6,56,0.3,9.1,6.1,9.5,64.8,10.4
79,Kenny Stills,MIA,WR,16,595,37.2,57.5,0,10.6,4.5,10.6,62,10.4
81,Jamison Crowder,WAS,WR,16,735,45.9,68.6,0.3,10.6,8.6,11.2,74.6,10.1
82,Brice Butler,DAL,WR,7,261,37.3,25.5,0,10,4.6,10,25.8,9.9
83,Corey Brown,CAR,WR,15,754,50.3,68.4,0.8,7.2,4.9,8,72.5,9.6
83,Lance Moore,DET,WR,14,581,41.5,53.6,0,7.4,5,7.4,55.7,9.6
85,Stedman Bailey,LAR,WR,8,255,31.9,52.7,0,9.8,4.7,9.8,24.2,9.5
86,Chris Hogan,BUF,WR,16,612,38.2,56.9,0.2,9.6,6.2,10,57.56,9.4
86,Jeremy Butler,BAL,WR,8,385,48.1,55.4,0,11.4,8.1,11.4,36.3,9.4
88,Dontrelle Inman,LAC,WR,14,691,49.4,58.9,0,9.1,5.1,9.1,64.6,9.3
88,Louis Murphy,TB,WR,6,212,35.3,51.7,0,8.5,4.7,8.5,19.8,9.3
90,Robert Woods,BUF,WR,14,774,55.3,82.5,0.1,10.3,6.2,10.5,71.2,9.2
90,Josh Huff,PHI,WR,15,536,35.7,46.3,0,7.5,5,7.5,49.2,9.2
92,Albert Wilson,KC,WR,14,654,46.7,65.3,0.8,8.7,6.1,9.5,59.7,9.1
92,Mohamed Sanu,CIN,WR,16,646,40.4,60.9,1.5,7.6,6.7,9.1,58.5,9.1
94,Chris Givens,BAL,WR,16,489,30.6,46.2,0.8,11,4.9,11.9,43.1,8.8
95,Malcom Floyd,LAC,WR,15,838,55.9,71.4,0,8.2,3.6,8.2,72.1,8.6
95,Justin Hunter,TEN,WR,9,378,42,64.2,0,8.2,5.8,8.2,32.4,8.6
97,Ryan Grant,WAS,WR,16,457,28.6,42.7,0,9.2,5,9.2,38.8,8.5
98,Marquess Wilson,CHI,WR,11,643,58.5,76.5,0,7.9,4.4,7.9,52.4,8.1
99,Mike Wallace,MIN,WR,16,752,47,73.5,0.1,9.6,5.3,9.7,59.9,8
99,Brandon LaFell,NE,WR,11,659,59.9,86.4,0.3,11.2,5.9,11.5,52.4,8
101,Josh Bellamy,CHI,WR,16,437,27.3,40.2,0,7.8,4.3,7.8,34.4,7.9
102,Riley Cooper,PHI,WR,16,572,35.8,49.4,0,7.2,3.7,7.2,44.7,7.8
102,Keshawn Martin,NE,WR,9,481,53.4,42.4,0.2,7.7,5.2,7.9,37.5,7.8
104,Davante Adams,GB,WR,13,763,58.7,66.5,0,12.3,6.6,12.3,56.3,7.4
105,Adam Humphries,TB,WR,13,437,33.6,45.3,0,9.2,6.2,9.2,32,7.3
106,Harry Douglas,TEN,WR,14,720,51.4,69.4,0.1,10,5.1,10.1,50.5,7
106,Miles Austin,PHI,WR,11,407,37,46.8,0,7.6,3.2,7.6,28.4,7
106,Chris Conley,KC,WR,16,369,23.1,36.8,0,8.4,4.6,8.4,25.9,7
109,Greg Salas,BUF,WR,2,59,29.5,43.1,0,8.5,5.1,8.5,4.1,6.9
110,Aaron Dobson,NE,WR,8,212,26.5,29.7,0,9.9,6.1,9.9,14.1,6.7
111,Andrew Hawkins,CLE,WR,8,417,52.1,43.5,0,10.3,6.5,10.3,27.6,6.6
112,Javontee Herndon,LAC,WR,8,288,36,50.7,0.3,11.5,8.7,11.8,18.8,6.5
112,Chris Owusu,NYJ,WR,3,124,41.3,29.2,0,10.5,4.8,10.5,8,6.5
112,Vincent Brown,LAC,WR,1,34,34,15.2,0,5.9,2.9,5.9,2.2,6.5
115,Eddie Royal,CHI,WR,9,480,53.3,44.2,0.2,10.4,7.9,10.6,29.7,6.2
116,Roddy White,ATL,WR,16,935,58.4,82.1,0,7.5,4.6,7.5,56.6,6.1
117,Quincy Enunwa,NYJ,WR,12,524,43.7,62,0,8.8,4.2,8.8,31.5,6
117,Taylor Gabriel,CLE,WR,13,401,30.8,36.2,0,12,7,12,24.1,6
