,20 Yard Shuttle,40 Yard Dash,60 Yard Shuttle,Arm Length,Bench Press,Broad Jump,College,Grade,Hands,Height,Name,Position,Three Cone Drill,Vertical Jump,Weight,Wonderlic,Year
0,3.95,4.6,,0,24,130,Nebraska,5.9,0,69,Ameer Abdullah,RB,6.79,42.5,205,0,2015
1,0,4.42,,0,12,0,USC,5.6,0,72,Nelson Agholor,WR,0,0,198,0,2015
2,4.1,4.57,,0,19,121,Boise St.,6,0,72,Jay Ajayi,RB,7.1,39,221,0,2015
3,4.2,4.55,,0,24,121,LSU,5.4,0,73,Kwon Alexander,OLB,7.14,36,227,0,2015
4,4.07,4.43,,0,13,121,West Virginia,5.3,0,68,Mario Alford,WR,6.64,34,180,0,2015
5,4.28,4.53,,0,11,121,USC,5.3,0,72,Javorius Allen,RB,6.96,35.5,221,0,2015
6,4.03,4.56,,0,0,122,Penn St.,5.5,0,72,Adrian Amos,FS,7.09,35.5,218,0,2015
7,0,0,,0,13,0,Utah,5.5,0,73,Dres Anderson,WR,0,0,187,0,2015
8,4.19,5.03,,0,0,111,Stanford,5.6,0,78,Henry Anderson,DE,7.2,30,294,0,2015
9,0,0,,0,0,0,South Carolina,5.5,0,77,Rory 'Busta' Anderson,TE,0,0,244,0,2015
10,4.03,4.56,,0,23,122,Clemson,5.4,0,75,Stephone Anthony,ILB,7.07,37,243,0,2015
11,4.53,5.1,,0,24,117,Oregon,6.2,0,79,Arik Armstead,DT,7.57,34,292,0,2015
12,0,4.53,,0,0,118,Auburn,5.4,0,70,Cameron Artis-Payne,RB,7.13,36.5,212,0,2015
13,0,0,,0,22,0,Florida,4.9,0,74,Neiron Ball,OLB,0,0,236,0,2015
14,0,4.8,,0,22,0,Clemson,5,0,76,Tavaris Barnes,DE,0,0,282,0,2015
15,0,0,,0,0,0,N.C. State,5.1,0,78,Wil Baumann,P,0,0,187,0,2015
16,4.15,4.53,,0,35,130,Clemson,6.1,0,75,Vic Beasley,OLB,6.91,41,246,0,2015
17,4.32,4.8,,0,14,116,Oklahoma,5.2,0,78,Blake Bell,TE,0,33,252,0,2015
18,4.15,4.42,,0,7,129,Nebraska,5.4,0,73,Kenny Bell,WR,6.66,41.5,197,0,2015
19,4.2,4.81,,0,0,125,Southeastern Louisiana,0,0,74,Bryan Bennett,QB,7.13,37,211,0,2015
20,0,0,,0,0,0,Ohio St.,6,0,74,Michael Bennett,DT,0,0,293,0,2015
21,0,0,,0,20,0,Iowa St.,5,0,74,E.J. Bibbs,TE,0,0,258,0,2015
22,4.57,5.02,,0,20,101,Auburn,5,0,76,Angelo Blackson,DT,7.5,31,318,0,2015
23,4.65,5.57,,0,22,90,Memphis,5,0,76,Al Bond,OG,7.9,23.5,303,0,2015
24,0,0,,0,15,0,Virginia Tech,5.2,0,72,Detrick Bonner,FS,0,0,207,0,2015
25,4.62,5.03,,0,0,100,Duke,5,0,72,Anthony Boone,QB,7.47,26.5,231,0,2015
26,4.75,5.6,,0,0,103,UNLV,4.8,0,79,Brett Boyko,OT,7.91,25,301,0,2015
27,4.23,5.04,,0,20,112,Delaware,5.2,0,76,Nick Boyle,TE,0,30.5,268,0,2015
28,4.37,4.72,,0,0,110,South Alabama,5,0,76,Brandon Bridge,QB,7.18,33,229,0,2015
29,0,0,,0,14,0,Notre Dame,4.8,0,73,Kyle Brindza,K,0,0,236,0,2015
30,4.11,4.54,,0,17,120,Northern Illinois,4.9,0,72,Da'Ron Brown,WR,7.04,37,205,0,2015
31,0,0,,0,17,0,Louisville,5,0,74,Dominique Brown,RB,0,0,234,0,2015
32,0,0,,0,0,0,Louisville,5.3,0,76,Jamon Brown,OT,0,0,323,0,2015
33,4.15,4.62,,0,19,117,Texas,5.2,0,71,Malcolm Brown,RB,6.86,34.5,224,0,2015
34,4.59,5.05,,0,26,98,Texas,6.1,0,74,Malcom Brown,DT,7.84,29.5,319,0,2015
35,4.78,5.29,,0,20,97,Florida,5.3,0,80,Trenton Brown,OG,8.23,23.5,355,0,2015
36,4.34,4.74,,0,25,115,Rutgers,4.8,0,71,Michael Burton,FB,7.2,33,242,0,2015
37,0,0,,0,23,0,Northwestern,5.2,0,71,Ibraheim Campbell,SS,0,0,208,0,2015
38,0,0,,0,26,0,South Carolina,6,0,75,A.J. Cann,OG,0,0,313,0,2015
39,4.45,4.94,,0,0,104,East Carolina,5.1,0,74,Shane Carden,QB,7.17,29.5,218,0,2015
40,0,4.91,,0,30,0,Navy,0,0,74,Joe Cardona,LS,0,33,242,0,2015
41,4.07,4.51,,0,17,121,Stanford,5.5,0,72,Alex Carter,CB,7.05,40,196,0,2015
42,4.15,4.57,,0,0,114,TCU,5.1,0,67,B.J. Catalon,RB,6.9,36,186,0,2015
43,0,4.62,,0,0,120,Western Michigan,5.3,0,71,Donald Celiscar,CB,0,0,194,0,2015
44,4.25,4.79,,0,27,114,Miami,5.1,0,75,Anthony Chickillo,DE,7.17,34.5,267,0,2015
45,4.7,4.87,,0,28,0,Louisville,5.3,0,75,Gerald Christian,TE,0,0,244,0,2015
46,0,0,,0,0,0,Florida,0,0,74,Kyle Christy,P,0,0,202,0,2015
47,4.05,4.79,,0,19,118,Michigan,4.8,0,75,Frank Clark,DE,7.08,38.5,271,0,2015
48,4.26,4.51,,0,10,113,Utah,5.1,0,70,Kaelin Clay,WR,6.97,33,195,0,2015
49,4.48,4.98,,0,0,108,Texas A&M,4.8,0,77,Cameron Clear,TE,0,32,277,0,2015
50,4.54,5.14,,0,22,111,Pittsburgh,6.1,0,77,T.J. Clemmings,OT,7.68,32.5,309,0,2015
51,4.06,4.43,,0,23,131,Auburn,5.6,0,73,Sammie Coates,WR,6.98,41,212,0,2015
52,0,4.81,,0,17,121,Minnesota,5.5,0,71,David Cobb,RB,0,38.5,229,0,2015
53,4.79,5.19,,0,23,101,Duke,4.9,0,76,Takoby Cofield,OT,8.09,30,310,0,2015
54,3.98,4.53,,0,20,124,Tennessee,5.2,0,71,Justin Coleman,CB,6.61,37.5,185,0,2015
55,0,0,,0,22,0,Indiana,6.1,0,71,Tevin Coleman,RB,0,0,206,0,2015
56,4.27,4.48,,0,0,124,LSU,6.1,0,73,Jalen Collins,CB,6.77,36,203,0,2015
57,4.63,5.12,,0,21,108,LSU,6.2,0,76,La'el Collins,OT,7.7,27,305,0,2015
58,4.33,4.53,,0,0,120,Alabama,6.4,0,72,Landon Collins,SS,7.38,35,228,0,2015
59,4.3,4.35,,0,18,139,Georgia,5.5,0,74,Chris Conley,WR,7.06,45,213,0,2015
60,3.98,4.42,,0,0,120,Alabama,7,0,73,Amari Cooper,WR,6.71,33,211,0,2015
61,4.37,4.86,,0,29,110,Washington St.,5.4,0,75,Xavier Cooper,DT,7.23,29,293,0,2015
62,0,0,,0,0,0,Rice,5.4,0,74,Christian Covington,DT,0,0,289,0,2015
63,4.07,4.36,,0,15,129,Mississippi St.,4.9,0,73,Justin Cox,FS,7.05,38,191,0,2015
64,4.65,5.01,,0,0,110,Clemson,4.9,0,77,Corey Crawford,DE,7.64,33,283,0,2015
65,4.6,5.26,,0,26,107,N.C. State,5.5,0,79,Rob Crisp,OT,8.07,32.5,301,0,2015
66,4.25,4.62,,0,15,125,North Dakota St.,5.2,0,72,John Crockett,RB,7.15,40,217,0,2015
67,4.32,4.56,,0,10,115,Duke,5.4,0,68,Jamison Crowder,WR,7.17,37,185,0,2015
68,0,0,,0,25,0,Maryland,4.8,0,74,Yannik Cudjoe-Virgil,OLB,0,0,248,0,2015
69,0,4.62,,0,13,122,Notre Dame,5.2,0,73,Davaris Daniels,WR,0,37,201,0,2015
70,4.14,4.38,,0,12,129,Florida St.,5.6,0,71,Ronald Darby,CB,6.94,41.5,193,0,2015
71,4.37,4.95,,0,16,107,Colorado St.,5.2,0,72,Aaron Davis,OLB,7.38,29,225,0,2015
72,4.47,5.07,,0,0,103,Iowa,5.9,0,77,Carl Davis,DT,7.91,33,320,0,2015
73,4.12,4.57,,0,16,115,UNLV,5.2,0,75,Devante Davis,WR,7.25,35.5,220,0,2015
74,4.18,0,,0,23,124,Connecticut,4.8,0,74,Geremy Davis,WR,6.86,36.5,216,0,2015
75,4.18,4.61,,0,17,116,South Carolina,5.4,0,69,Mike Davis,RB,7,34,217,0,2015
76,4.28,4.51,,0,0,119,Central Michigan,5.4,0,73,Titus Davis,WR,7.14,32.5,196,0,2015
77,4.46,5.18,,0,32,105,Fresno St.,5.5,0,74,Tyeler Davison,DT,7.53,33,316,0,2015
78,4.49,4.93,,0,21,109,TCU,6,0,72,Paul Dawson,ILB,0,28,235,0,2015
79,0,4.97,,0,23,0,Towson,5,0,76,Ryan Delaire,DE,0,0,254,0,2015
80,0,0,,0,0,0,Alabama,5.1,0,72,Trey DePriest,ILB,0,0,254,0,2015
81,0,0,,0,15,0,Arkansas,5.3,0,76,A.J. Derby,TE,0,0,255,0,2015
82,4.53,4.74,,0,19,100,Alabama,5.1,0,75,Xzavier Dickson,OLB,7.56,29.5,260,0,2015
83,4.15,4.56,,0,17,113,Texas,5.2,0,69,Quandre Diggs,CB,7.22,35.5,196,0,2015
84,4.32,4.46,,0,0,115,Maryland,5.6,0,72,Stefon Diggs,WR,7.03,35,195,0,2015
85,4.7,5.31,,0,23,107,Auburn,5.3,0,75,Reese Dismukes,C,8.14,27.5,296,0,2015
86,4.77,5.31,,0,17,101,Iowa,5.4,0,78,Andrew Donnal,OT,7.84,32,313,0,2015
87,4.11,4.33,,0,13,122,Miami,5.7,0,70,Phillip Dorsett,WR,6.7,37,185,0,2015
88,4.26,4.5,,0,9,115,Tulane,5.6,0,70,Lorenzo Doss,CB,7.2,33.5,182,0,2015
89,4.75,5.25,,0,28,99,Arizona State,5.2,0,76,Jamil Douglas,OG,7.99,29,304,0,2015
90,4.33,4.65,,0,0,119,Michigan St.,5.5,0,73,Kurtis Drummond,FS,7.09,39.5,208,0,2015
91,0,5.06,,0,26,0,Louisville,5.2,0,76,B.J. Dubose,OLB,0,0,284,0,2015
92,0,4.56,,0,0,138,Kentucky,5.9,0,76,Bud Dupree,OLB,0,42,269,0,2015
93,0,4.58,,0,26,120,Louisville,4.9,0,68,Michael Dyer,RB,0,34,218,0,2015
94,4.5,4.8,,0,16,117,Ball St.,5.1,0,69,Jahwan Edwards,RB,7.63,35.5,220,0,2015
95,0,0,,75,32.5,7.44,32,0,279,6,Mario Edwards,Edwards,0,4.55,3,0,2015
96,0,0,,0,0,0,Oregon,5.6,0,69,Ifo Ekpre-Olomu,CB,0,0,192,0,2015
97,4.25,4.77,,0,27,120,North Dakota St.,5.5,0,75,Kyle Emanuel,OLB,7.1,34,255,0,2015
98,4.63,5.15,,0,30,112,Florida St.,5.8,0,77,Cameron Erving,C,7.48,30.5,313,0,2015
99,4.26,4.63,,0,0,117,Syracuse,5.2,0,75,Durell Eskridge,FS,7.09,31,208,0,2015
100,4.77,5.55,,0,0,0,TCU,5.3,0,78,Tayo Fabuluje,OG,0,29.5,353,0,2015
101,4.1,4.63,,0,0,118,Nevada,5,0,73,Cody Fajardo,QB,6.95,32.5,223,0,2015
102,4.74,5.33,,0,0,97,Miami,4.8,0,76,Jon Feliciano,OG,0,26.5,323,0,2015
103,0,0,,0,0,0,Penn St.,4.8,0,73,Sam Ficken,K,0,0,191,0,2015
104,4.76,5.25,,0,20,99,Kansas St.,5.6,0,76,B.J. Finney,C,0,24,318,0,2015
105,4.33,5.01,,0,25,0,Oregon,5.7,0,78,Jake Fisher,OT,7.25,32.5,306,0,2015
106,0,5.31,,0,37,0,Miami,6,0,78,Ereck Flowers,OT,0,0,329,0,2015
107,4.4,4.93,,0,28,121,Arkansas,5.6,0,74,Trey Flowers,DE,7.34,36.5,266,0,2015
108,4.4,4.94,,0,23,114,Alabama,5.1,0,71,Jalston Fowler,FB,7.56,33.5,254,0,2015
109,0,0,,75,32.5,7.4,19,0,261,6,Dante Fowler,Fowler,0,4.32,3,0,2015
110,4.15,4.73,,0,18,118,BYU,5.3,0,77,Alani Fua,OLB,6.83,34.5,238,0,2015
111,0,4.7,,0,17,122,Michigan,5.6,0,76,Devin Funchess,WR,0,38.5,232,0,2015
112,4.2,4.44,,0,0,123,Louisville,5.5,0,70,Charles Gaines,CB,7.07,34.5,180,0,2015
113,4.58,5.5,,0,29,96,Boston College,5.5,0,74,Andy Gallik,C,7.66,27,306,0,2015
114,0,0,,0,0,0,Florida,5.2,0,76,Max Garcia,C,0,0,309,0,2015
115,4.27,4.55,,0,22,120,Central Florida,5.2,0,74,Clayton Geathers,SS,7.21,37,218,0,2015
116,4.56,5.04,,0,24,113,Virginia Tech,4.9,0,78,Laurence Gibson,OT,7.72,33.5,305,0,2015
117,4.26,4.64,,0,0,123,Central Florida,5.2,0,72,Jacoby Glenn,CB,6.97,34,179,0,2015
118,4.58,5.2,,0,31,113,West Virginia,5.4,0,76,Mark Glowinski,OG,7.56,29.5,307,0,2015
119,0,4.9,,0,0,0,Missouri,5.5,0,74,Markus Golden,DE,0,0,260,0,2015
120,0,0,,0,0,0,Florida St.,6.1,0,76,Eddie Goldman,DT,0,0,336,0,2015
121,4.2,4.46,,0,15,120,Mississippi,5.8,0,69,Senquez Golson,CB,6.81,33.5,176,0,2015
122,0,4.44,,0,0,0,Baylor,5.5,0,70,Antwan Goodley,WR,0,0,209,0,2015
123,4.07,4.52,,0,19,126,Wisconsin,6.2,0,73,Melvin Gordon,RB,7.04,35,215,0,2015
124,4.33,4.44,,0,21,116,Ohio St.,5.3,0,70,Doran Grant,CB,0,33,200,0,2015
125,0,0,,0,0,0,Oregon,5.7,0,75,Hroniss Grasu,C,0,0,297,0,2015
126,0,0,,0,0,0,Colorado St.,5.4,0,74,Garrett Grayson,QB,0,0,213,0,2015
127,4.7,5.16,,0,21,106,Florida,5.1,0,77,Chaz Green,OT,8,29.5,314,0,2015
128,4.45,4.49,,0,13,119,Missouri,5.7,0,77,Dorial Green-Beckham,WR,6.89,33.5,237,0,2015
129,4.12,4.53,,0,0,122,Florida St.,5.7,0,71,Rashad Greene,WR,6.88,36.5,182,0,2015
130,0,4.64,,0,24,125,Nebraska,6.4,0,77,Randy Gregory,OLB,0,36.5,235,0,2015
131,4.38,4.81,,0,20,117,Oklahoma,5.4,0,75,Geneo Grissom,DE,7.24,37,262,0,2015
132,4.41,4.69,,0,12,108,Miami,5.4,0,73,Ladarius Gunter,CB,7.18,33.5,202,0,2015
133,0,0,,0,17,0,Georgia,6.3,0,73,Todd Gurley,RB,0,0,222,0,2015
134,4.28,4.72,,0,22,121,Oregon St.,5.2,0,77,Obum Gwacham,DE,7.28,36,246,0,2015
135,4.2,4.81,,0,0,110,TCU,5.1,0,72,Chris Hackett,FS,7.12,32,195,0,2015
136,4.36,4.6,,0,26,117,Baylor,5.1,0,73,Bryce Hager,ILB,7.15,35,234,0,2015
137,4.15,4.6,,0,16,132,Central Florida,5.2,0,72,Rannell Hall,WR,6.86,41,198,0,2015
138,0,0,,0,0,0,Washington St.,5.1,0,75,Connor Halliday,QB,0,0,196,0,2015
139,0,0,,0,0,0,Coastal Carolina,5.2,0,74,Chad Hamilton,C,0,0,292,0,2015
140,0,0,,0,27,0,Arizona State,5.6,0,75,Marcus Hardison,DE,0,0,307,0,2015
141,4.21,4.56,,0,11,114,East Carolina,5.4,0,70,Justin Hardy,WR,6.63,36.5,192,0,2015
142,4.16,4.6,,0,0,123,Virginia,5.9,0,75,Eli Harold,OLB,7.07,35,247,0,2015
143,4.36,4.64,,0,13,108,Fresno St.,5.4,0,73,Josh Harper,WR,7.15,32,191,0,2015
