,Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
0,1,Adrian Peterson,MIN,RB,16,348,2097,6.0,12,51,40,217,1,4,2,19.2,307.4
1,2,Doug Martin,TB,RB,16,319,1454,4.6,11,70,49,472,1,1,1,16.4,262.6
2,3,Arian Foster,HOU,RB,16,351,1424,4.1,15,58,40,217,2,3,2,16.4,262.1
3,4,Marshawn Lynch,SEA,RB,16,315,1590,5.0,11,30,23,196,1,5,2,15.4,246.6
4,5,Alfred Morris,WAS,RB,16,335,1613,4.8,13,16,11,77,0,4,3,15.1,241.0
5,6,Ray Rice,BAL,RB,16,257,1143,4.4,9,83,61,478,1,1,0,13.9,222.1
6,7,CJ Spiller,BUF,RB,16,207,1244,6.0,6,57,43,459,2,3,3,13.3,212.3
7,8,Jamaal Charles,KC,RB,16,285,1509,5.3,5,48,35,236,1,5,3,12.8,204.5
8,9,Trent Richardson,CLE,RB,15,267,950,3.6,11,70,51,367,1,3,0,13.6,203.7
9,10,Frank Gore,SF,RB,16,258,1214,4.7,9,36,28,234,1,2,1,12.7,202.8
10,11,Stevan Ridley,NE,RB,16,290,1263,4.4,12,14,6,51,0,4,2,12.5,199.4
11,12,Matt Forte,CHI,RB,15,248,1094,4.4,5,60,44,340,1,2,1,11.8,177.4
12,13,Chris Johnson,TEN,RB,16,276,1243,4.5,6,49,36,232,0,5,4,11.0,175.5
13,14,Reggie Bush,MIA,RB,16,227,986,4.3,6,51,35,292,2,4,2,10.7,171.8
14,15,Shonn Greene,NYJ,RB,16,276,1063,3.9,8,31,19,151,0,4,1,10.5,167.4
15,16,Steven Jackson,LAR,RB,16,257,1042,4.1,4,53,38,321,0,0,0,10.1,162.3
16,17,Michael Turner,ATL,RB,16,222,800,3.6,10,30,19,128,1,3,1,9.8,156.8
17,18,Ahmad Bradshaw,NYG,RB,14,221,1015,4.6,6,31,23,245,0,3,3,11.1,156.0
18,19,BenJarvus Green-Ellis,CIN,RB,15,278,1094,3.9,6,29,22,104,0,3,2,10.1,151.8
19,20,Mikel Leshoure,DET,RB,14,215,798,3.7,9,48,34,214,0,3,3,10.7,149.2
20,21,LeSean McCoy,PHI,RB,12,200,840,4.2,2,67,54,373,3,4,3,12.1,145.3
21,22,Darren Sproles,NO,RB,13,48,244,5.1,1,104,75,667,7,0,0,10.9,141.1
22,23,DeAngelo Williams,CAR,RB,16,173,737,4.3,5,20,13,187,2,2,2,8.2,130.4
23,24,Danny Woodhead,NE,RB,16,76,301,4.0,4,55,40,446,3,1,0,7.3,116.7
24,25,Vick Ballard,IND,RB,16,211,814,3.9,2,27,17,152,1,3,0,7.2,114.6
25,26,Willis McGahee,DEN,RB,10,167,731,4.4,4,33,26,221,0,5,4,11.3,113.2
26,27,DeMarco Murray,DAL,RB,10,161,663,4.1,4,42,35,251,0,3,2,11.1,111.4
27,28,Darren McFadden,OAK,RB,12,216,707,3.3,2,63,42,258,1,2,2,9.2,110.5
28,29,Joique Bell,DET,RB,16,82,414,5.0,3,69,52,485,0,2,2,6.5,103.9
