Name,Played,RushingAttempts,RushingYards,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost, RushingYardsPerAttempt 
Aaron Green,2,0,0,0,0,0,0,0,0,0, -   
Aaron Jones,12,81,448,4,18,9,22,0,0,0, 5.50 
Aaron Ripkowski,47,39,163,2,21,17,103,1,0,0, 2.33 
Adrian Peterson,60,1168,5524,35,155,115,706,2,20,11, 3.98 
Ahmad Bradshaw,33,383,1711,10,100,78,651,9,6,5, 4.13 
Akeem Hunt,30,45,228,0,21,13,99,0,2,0, 4.63 
Alan Cross,22,0,0,0,16,11,96,1,0,0, -   
Alex Armah,9,0,0,0,0,0,0,0,0,0, -   
Alex Collins,26,243,1098,7,47,34,271,0,6,3, 4.30 
Alex Green,25,146,499,0,31,20,133,0,1,0, 3.30 
Alfonso Smith,33,25,73,1,20,15,100,0,2,1, 1.90 
Alfred Blue,57,523,1908,6,59,49,316,2,4,2, 3.70 
Alfred Morris,92,1262,5503,32,82,57,421,0,11,7, 4.25 
Alonzo Harris,6,4,19,0,1,0,0,0,0,0, 4.80 
Alvin Kamara,16,120,728,8,100,81,826,5,1,1, 6.10 
Ameer Abdullah,32,326,1250,6,78,55,402,3,8,3, 4.37 
Andre Brown,18,212,877,11,46,32,189,0,3,3, 4.40 
Andre Ellington,65,418,1752,10,223,151,1368,3,4,3, 4.16 
Andre Williams,41,332,1090,8,42,19,137,0,1,0, 3.45 
Andy Janovich,27,10,45,2,13,9,79,0,0,0, 5.10 
Anthony Allen,16,16,61,1,4,2,12,0,0,0, 3.80 
Anthony Dixon,64,175,610,7,19,17,123,0,1,0, 2.98 
Anthony Sherman,93,19,51,1,65,47,357,2,1,1, 1.40 
Antone Smith,46,39,347,4,28,21,309,3,3,2, 10.20 
Antonio Andrews,34,145,535,3,31,23,185,0,1,1, 3.70 
Arian Foster,45,817,3430,25,190,128,1032,10,8,5, 3.70 
Armando Allen,15,27,124,1,3,2,16,0,0,0, 4.60 
Armond Smith,9,7,5,0,0,0,0,0,0,0, 0.60 
Austin Ekeler,16,47,260,2,35,27,279,3,2,2, 5.50 
Austin Johnson,18,12,31,1,10,7,45,1,0,0, 1.67 
Baron Batch,12,25,49,1,5,4,31,0,0,0, 2.00 
Ben Tate,36,365,1420,10,72,54,249,0,6,3, 3.90 
BenJarvus Green-Ellis,31,498,1850,13,37,26,126,0,5,4, 3.65 
Benjamin Cunningham,71,180,777,4,147,113,992,3,7,4, 4.22 
Bernard Pierce,52,359,1342,5,47,32,171,0,1,1, 3.38 
Bernard Scott,4,12,49,0,2,2,10,0,0,0, 3.95 
Bilal Powell,87,698,3082,15,278,192,1450,4,5,2, 4.43 
Bishop Sankey,29,199,762,3,45,32,272,1,5,3, 3.90 
Bobby Rainey,66,267,1055,6,99,76,548,2,13,6, 3.48 
Brad Smelley,4,0,0,0,1,1,3,0,0,0, -   
Bradie Ewing,2,0,0,0,2,2,29,0,0,0, -   
Branden Oliver,30,226,773,3,71,55,409,1,1,0, 3.17 
Brandon Bolden,83,216,912,6,75,47,373,2,0,0, 4.25 
Brandon Burks,1,2,-4,0,0,0,0,0,0,0, (2.00)
Brandon Jackson,2,8,54,0,4,2,20,0,0,0, 6.80 
Brandon Jacobs,9,63,245,4,7,2,13,0,1,1, 2.75 
Brandon Saine,6,0,0,0,0,0,0,0,0,0, -   
Brandon Wegher,1,0,0,0,0,0,0,0,0,0, -   
Brandon Wilds,4,10,27,0,2,2,20,0,0,0, 2.70 
Brian Hill,7,11,37,0,2,2,36,0,0,0, 3.40 
Brian Leonard,32,80,288,0,53,41,261,0,0,0, 2.37 
Brit Miller,9,0,0,0,3,0,0,0,1,1, -   
Bronson Hill,5,3,9,0,1,0,0,0,0,0, 1.75 
Bruce Miller,62,24,54,1,88,65,651,2,2,1, 2.33 
Bryce Brown,43,252,1076,7,59,37,316,0,5,4, 3.85 
Byron Marshall,7,28,96,0,13,9,46,0,0,0, 3.50 
CJ Anderson,58,693,3051,20,145,103,859,4,4,3, 4.58 
CJ Ham,16,7,13,1,8,7,68,0,0,0, 1.90 
CJ Prosise,11,41,195,1,30,23,295,0,0,0, 3.90 
CJ Spiller,60,529,2600,8,179,136,1070,6,12,5, 3.43 
Cameron Artis-Payne,23,99,422,4,7,7,71,0,0,0, 4.47 
Carlos Hyde,50,655,2731,21,152,109,634,3,9,5, 4.15 
