,Name,SnapsPlayed
0,Brandon Meriweather,41
1,Darrelle Revis,91
2,Charles Tillman,921
3,Darius Butler,371
4,Greg Toler,302
5,Richard Sherman,950
6,Joselio Hanson,553
7,Ellis Lankster,326
8,William Moore,758
9,Stevie Brown,829
10,Cortez Allen,543
11,Janoris Jenkins,955
12,Ryan Clark,883
13,Morgan Burnett,1088
14,Reed Doughty,383
15,Tim Jennings,886
16,Trumaine Johnson,356
17,LaRon Landry,1019
18,Casey Hayward,684
19,Mike Harris,529
20,Cortland Finnegan,1005
21,Eric Weddle,1033
22,Robert McClain,604
23,Harrison Smith,1038
24,Bernard Pollard,895
25,Vontae Davis,591
26,Buster Skrine,722
27,Antoine Winfield,1026
28,Tracy Porter,302
29,Colt Anderson,292
30,Ronde Barber,1071
31,Reggie Nelson,891
32,Tavon Wilson,464
33,Mike Mitchell,331
34,Chris Harris,904
35,Brent Grimes,52
36,Roman Harper,1097
37,Malcolm Jenkins,873
38,Tyvon Branch,835
39,Leonard Johnson,582
40,Reshad Jones,1117
41,DeAngelo Hall,1045
42,Sheldon Brown,879
43,Jordan Babineaux,765
44,Corey Lynch,495
45,Derek Cox,764
46,Tony Carter,496
47,Leodis McKelvin,347
48,Corey Graham,574
49,Eric Wright,495
50,Richard Marshall,237
51,Quintin Mikell,1022
52,Aqib Talib,574
53,Troy Polamalu,387
54,DJ Moore,364
55,Mike Adams,979
56,Dunta Robinson,931
57,Lardarius Webb,376
58,Glover Quin,1027
59,Jairus Byrd,1022
60,Kurt Coleman,879
61,Kelvin Hayden,462
62,Ryan Mouton,387
63,Jason McCourty,1126
64,Josh Wilson,1028
65,Quentin Jammer,990
66,Terence Newman,865
67,Ahmad Black,417
68,Usama Young,669
69,Alfonzo Dennard,586
70,Charles Woodson,467
71,Cedric Griffin,353
72,Marcus Trufant,352
73,Cary Williams,1079
74,Thomas Decoud,1021
75,Isa Abdul-Quddus,473
76,Jayron Hosley,452
77,Devin McCourty,1076
78,Eric Berry,993
79,Don Carey,358
80,Tysyn Hartman,237
81,Madieu Williams,1025
82,Marcus Gilchrist,622
83,Atari Bigby,615
84,Antrel Rolle,1015
85,Kam Chancellor,977
86,George Wilson,897
87,Bradley Fletcher,363
88,James Dockery,158
89,Antoine Bethea,1049
90,Danieal Manning,1047
91,Ricardo Silva,414
92,Major Wright,1028
93,Drayton Florence,303
94,Alterraun Verner,1046
95,Cassius Vaughn,817
96,Javier Arenas,710
97,Jerraud Powers,505
98,Quintin Demps,347
99,Keenan Lewis,919
100,Jamarca Sanford,787
101,Adam Jones,596
102,Erik Coleman,461
103,Louis Delmas,434
104,Davon House,311
105,Kyle Arrington,827
106,DeJon Gomes,385
107,Elbert Mack,254
108,Chris Culliver,670
109,Kerry Rhodes,1011
110,Johnathan Joseph,826
111,Josh Robinson,637
112,Jonte Green,396
113,Pat Lee,427
114,Anthony Gaitor,123
115,Ed Reed,1046
116,Chris Conte,856
117,Asante Samuel,812
118,Danny McCray,639
119,Patrick Chung,531
120,Patrick Robinson,1093
121,Yeremiah Bell,1058
122,Donte Whitner,1036
123,Josh Norman,771
124,Michael Griffin,1115
125,Dashon Goldson,1027
126,Antoine Cason,1022
127,Brandon Browner,746
128,Steve Gregory,737
129,Chris Crocker,599
130,Sherrod Martin,272
131,Joe Haden,774
132,Patrick Peterson,1041
133,Earl Thomas,960
134,Adrian Wilson,845
135,Nolan Carroll,641
136,Nate Clements,585
137,MD Jennings,561
138,Amari Spievey,190
139,Morris Claiborne,879
140,Brandon Flowers,864
141,Jimmy Wilson,589
142,Sterling Moore,327
