Name,SnapsPlayed
A.J. Johnson,39
AJ Hawk,2565
AJ Klein,1848
Aaron Lynch,1822
Adarius Taylor,402
Ahmad Brooks,4555
Akeem Ayers,2867
Akeem Dent,861
Akeem Jordan,800
Albert McClellan,1029
Aldon Smith,2514
Alec Ogletree,4752
Alex Anzalone,281
Andrew Gachkar,382
Andy Mulumba,298
Anthony Barr,3936
Anthony Chickillo,316
Anthony Hitchens,2624
Anthony Spencer,1253
Anthony Walker,281
Antonio Morrison,1145
Antwan Barnes,146
Ashlee Palmer,355
Audie Cole,323
Austin Calitro,127
Avery Moss,248
Avery Williamson,3724
BJ Goodson,535
Barkevious Mingo,2090
Bart Scott,572
Ben Heeney,440
Benardrick McKinney,2653
Bjoern Werner,1052
Blake Martinez,1801
Bobby Wagner,5695
Brad Jones,1258
Bradie James,638
Bradley Chubb,361
Brandon Copeland,261
Brandon Marshall,3669
Brandon Spikes,1915
Breeland Speaks,193
Brennan Scarlett,302
Brian Cushing,3066
Brian Orakpo,4224
Brian Urlacher,716
Brock Coyle,710
Bront Bird,111
Bruce Carter,2312
Bryan Scott,590
Bryan Thomas,372
Bud Dupree,2057
CJ Mosley,4311
Caesar Rayford,144
Calvin Munson,388
Calvin Pace,3224
Casey Matthews,434
Chad Greenway,4072
Chase Blackburn,783
Chris Borland,476
Chris Clemons,2233
Christian Jones,1989
Christian Kirksey,3725
Clay Matthews,4617
Colin McCarthy,715
Connor Barwin,5767
Cordarro Law,74
Corey Lemonier,272
Corey Nelson,546
Cory James,830
Cory Littleton,359
Courtney Upshaw,3023
Craig Robertson,4267
Curtis Lofton,3679
D'Qwell Jackson,5057
DJ Williams,625
Damien Wilson,325
Dan Connor,340
Dan Skuta,1071
Dane Fletcher,351
Dannell Ellerbe,2430
Danny Lansanah,1006
Danny Trevathan,3352
Darius Leonard,367
Darron Lee,2081
Darryl Sharpton,1101
Daryl Smith,3777
Daryl Washington,1856
David Bass,1191
David Harris,5047
David Hawthorne,1965
De'Vondre Campbell,1879
DeAndre Levy,2960
DeMeco Ryans,3324
DeVonte Holloman,207
Dee Ford,1953
Deion Jones,1986
Demarcus Ware,2957
Demario Davis,5085
Demorrio Williams,358
Denzel Perryman,1423
Deone Bucannon,3378
Derrick Johnson,4910
Derrick Morgan,4948
Devin Unga,432
Devon Kennard,2215
Dezman Moses,436
Dominique Easley,1068
Donald Butler,2988
Dont'a Hightower,4088
Dontay Moch,78
Duke Riley,264
Dylan Cole,75
Edwin Jackson,497
Ejuan Price,21
Elandon Roberts,997
Eli Harold,1479
Emmanuel Lamur,1229
Eric Kendricks,2982
Erik Walden,4397
Erin Henderson,1695
Ernie Sims,748
Everette Brown,154
Foyesade Oluokun,134
Frank Zombo,1499
Frankie Luvu,153
Fred Warner,414
Freddie Bishop,153
Garrett McIntyre,673
Gary Guyton,23
Genard Avery,198
Geno Hayes,1493
Gerald Hodges,1606
Haason Reddick,703
Hardy Nickerson Jr,213
Harold Landry,183
Hau'oli Kikaha,621
Hayes Pullard,476
Howard Jones,386
JT Thomas,1114
Ja'whaun Bentley,139
Jackson Jeffcoat,118
Jacquian Williams,1453
Jadeveon Clowney,2656
Jake Ryan,1065
Jamari Lattimore,281
Jameel McClain,2076
James Anderson,1518
James Burgess,726
James Harrison,2821
James Laurinaitis,4543
James-Michael Johnson,724
Jamie Collins,3366
Jared Allen,3648
Jarrad Davis,1146
Jarret Johnson,1495
Jarvis Jones,1790
Jason Babin,1876
Jason Trusnik,394
Jason Worilds,2171
Jasper Brinkley,1727
Jatavis Brown,1244
Jaylon Smith,935
Jayon Brown,837
Jeff Tarpinian,180
Jelani Jenkins,1971
Jeremiah Attaochu,845
Jermaine Cunningham,439
Jerod Mayo,2176
Jerome Baker,233
Jerrell Freeman,4380
Jo-Lonn Dunbar,1899
Joe Mays,837
Joe Schobert,1497
Joe Thomas,634
John Abraham,1630
John Simon,1862
John Timu,159
Jon Beason,1364
Jon Bostic,2478
Jonathan Anderson,312
Jonathan Casillas,2188
Jonathan Freeny,390
Jonathan Massaquoi,854
Jonathan Newsome,738
Jonathan Vilma,406
Joplo Bartu,1255
Jordan Evans,471
Jordan Hicks,2077
Jordan Jenkins,1507
Josh Bynes,2367
Josh Martin,592
Josh Mauga,1466
Jovan Belcher,332
Julian Stanford,593
Junior Galette,2340
Justin Durant,2272
Justin Houston,4866
Justin March,162
KJ Wright,5501
Kaluka Maiava,584
Kamalei Correa,121
Kamerion Wimbley,1800
Kareem Martin,747
Karlos Dansby,5733
Kasim Edebali,361
Kavell Conner,881
Keenan Robinson,2429
Keith Brooking,453
Keith Rivers,652
Kelvin Sheppard,2387
Kemal Ishmael,1490
Kendell Beckwith,850
Kenny Young,185
Kevin Burnett,2044
Kevin Minter,2130
Khalil Mack,4132
Kiko Alonso,4104
Koa Misi,2454
Korey Toomer,544
Kwon Alexander,2899
Kyle Emanuel,846
Kyle Van Noy,1570
Kyle Wilber,501
Kyler Fackrell,568
Kyzir White,142
Lamarr Houston,3070
Lamarr Woodley,1763
Lance Briggs,2017
Larry Foote,2020
Latroy Lewis,68
Lavonte David,6286
Lawrence Timmons,5841
Leighton Vander Esch,255
Leonard Floyd,1343
Leroy Hill,504
London Fletcher,1924
Lorenzo Alexander,1740
Lorenzo Carter,157
Lorenzo Mauldin,353
Luke Kuechly,5550
Malcolm Smith,2666
Manny Lawson,2101
Manti Te'o,2399
Mark Anderson,244
Mark Barron,5467
Mark Herzlich,313
Marquel Lee,239
Martrell Spaight,414
Mason Foster,3414
Matt Judon,1346
Matt Longacre,824
Matt Milano,786
Michael Boley,839
Michael Wilhoite,2462
Mike Mohamed,511
Mike Neal,2365
Miles Burris,1932
Moise Fokou,1098
Mychal Kendricks,4063
Myles Jack,1410
NaVorro Bowman,4398
Nate Irving,349
Nate Palmer,735
Nathan Stupar,376
Neville Hewitt,694
Nicholas Morrow,554
Nick Barnett,999
Nick Kwiatkoski,839
Nick Perry,2643
Nick Roach,1771
Nick Vigil,1120
Nigel Bradham,4113
O'Brien Schofield,1327
Olivier Vernon,4918
Omar Gaither,144
Oren Burks,81
Osi Umenyiora,1701
Paris Lenon,1014
Parys Haralson,849
Pat Angerer,792
Patrick Onwuasor,823
Patrick Willis,2193
Paul Posluszny,5169
Paul Worrilow,3001
Pernell McPhee,2193
Perry Riley,4024
Philip Wheeler,2767
Phillip Hunt,49
Preston Brown,4436
Preston Smith,2282
Prince Shembo,340
Quentin Groves,467
Quincy Black,293
Raekwon McMillan,321
Ramik Wilson,651
Ramon Humber,1015
Rashaan Evans,184
Ray Lewis,441
Ray Ray Armstrong,733
Reggie Gilbert,260
Reggie Ragland,538
Reggie Walker,471
Reuben Foster,819
Rey Maualuga,3195
Rob Jackson,584
Rob Ninkovich,4379
Robert Mathis,2545
Rocky McIntosh,447
Rolando McClain,1767
Roquan Smith,231
Russell Allen,1593
Ryan Davis,456
Ryan Kerrigan,5749
Ryan Shazier,2368
Sam Acho,3156
Sam Barrington,355
Samson Ebukam,649
Scott Fujita,122
Scott Shanle,219
Scott Solomon,234
Sean Lee,3566
Sean Spence,1168
Sean Weatherspoon,1410
Shane Ray,1495
Shaq Thompson,1830
Shaquil Barrett,1739
Shaun Phillips,2050
Shea McClellin,2500
Sio Moore,1687
Spencer Paysinger,1023
Stephen Nicholas,873
Stephen Tulloch,2915
Stephone Anthony,991
TJ Watt,1130
Tahir Whitehead,3574
Takeo Spikes,700
Tamba Hali,4269
Telvin Smith,3996
Terrance Smith,168
Terrell Suggs,4009
Thomas Davis,5556
Tim Dobbins,389
Todd Davis,1572
Tremaine Edmunds,394
Trent Cole,3186
Ufomba Kamalu,272
Vince Williams,1481
Vincent Rey,3207
Von Miller,5388
Vontaze Burfict,3954
Wesley Woodyard,4818
Whitney Mercilus,4385
Will Compton,2013
Will Witherspoon,388
Willie Young,3113
Za'Darius Smith,1691
Zach Brown,4049
Zach Cunningham,1164
Zach Orr,961
Zach Vigil,396
