,Name,SnapsPlayed
0,Kirk Cousins,95
1,Robert Griffin III,938
2,Colin Kaepernick,526
3,Aaron Rodgers,1071
4,Cam Newton,1021
5,Drew Brees,1094
6,Matt Ryan,1050
7,Russell Wilson,979
8,Tom Brady,1215
9,Peyton Manning,1110
10,Ben Roethlisberger,834
11,Tony Romo,1089
12,Alex Smith,484
13,Andy Dalton,1027
14,Kevin Kolb,349
15,Josh Freeman,1037
16,Andrew Luck,1169
17,Carson Palmer,953
18,Matthew Stafford,1180
19,Joe Flacco,1002
20,Eli Manning,1005
21,Michael Vick,667
22,Sam Bradford,1036
23,Jake Locker,593
24,Ryan Fitzpatrick,997
25,Chad Henne,546
26,Philip Rivers,1025
27,Matt Schaub,1104
28,Jay Cutler,920
29,Matt Hasselbeck,395
30,Nick Foles,454
31,Christian Ponder,1032
32,Ryan Tannehill,981
33,Blaine Gabbert,516
34,Brandon Weeden,929
35,Byron Leftwich,104
36,Brian Hoyer,81
37,Thaddeus Lewis,62
38,Jason Campbell,126
39,Matt Cassel,578
40,Greg McElroy,90
41,Mark Sanchez,938
42,Charlie Batch,129
43,John Skelton,315
44,Brady Quinn,474
45,Matt Moore,128
46,Matt Leinart,60
47,Ryan Lindley,303
0,Nick Foles,702
1,Peyton Manning,1156
2,Josh McCown,421
3,Drew Brees,1111
4,Michael Vick,325
5,Cam Newton,1014
6,Aaron Rodgers,582
7,Tony Romo,919
8,Andrew Luck,1047
9,Russell Wilson,973
10,Colin Kaepernick,969
11,Kyle Orton,78
12,Jay Cutler,636
13,Sam Bradford,450
14,Brian Hoyer,152
15,Philip Rivers,1098
16,Alex Smith,978
17,Andy Dalton,1117
18,Jake Locker,395
19,Ben Roethlisberger,1052
20,Matthew Stafford,1133
21,Ryan Fitzpatrick,680
22,Robert Griffin III,906
23,Matt Cassel,459
24,Matt Ryan,1065
25,Ryan Tannehill,1021
26,Jason Campbell,502
27,Case Keenum,461
28,Scott Tolzien,158
29,Tom Brady,1197
30,Christian Ponder,511
31,Matt McGloin,378
32,Carson Palmer,1081
33,Brandon Weeden,452
34,Geno Smith,985
35,EJ Manuel,694
36,Mike Glennon,842
37,Joe Flacco,1128
38,Matt Flynn,394
39,Chad Henne,898
40,Eli Manning,986
41,Matt Schaub,610
42,Chase Daniel,100
43,Thaddeus Lewis,356
44,Kellen Clemens,554
45,Chris Simms,66
46,Kirk Cousins,238
47,Josh Freeman,261
48,Jeff Tuel,111
49,Blaine Gabbert,159
50,Seneca Wallace,58
51,Matt Barkley,76
0,Aaron Rodgers,983
1,Andrew Luck,1072
2,Russell Wilson,1054
3,Peyton Manning,1092
4,Derek Anderson,178
5,Ben Roethlisberger,1106
6,Tony Romo,971
7,Cam Newton,927
8,Matt Ryan,1064
9,Drew Brees,1140
10,Jay Cutler,969
11,Ryan Tannehill,1065
12,Tom Brady,1062
13,Colt McCoy,240
14,Carson Palmer,410
15,Philip Rivers,1053
16,Kirk Cousins,357
17,Ryan Fitzpatrick,727
18,Mike Glennon,364
19,Joe Flacco,1070
20,Charlie Whitehurst,357
21,Eli Manning,1109
22,Colin Kaepernick,1049
23,Alex Smith,940
24,Zach Mettenberger,305
25,Matthew Stafford,1093
26,Matt McGloin,24
27,EJ Manuel,259
28,Teddy Bridgewater,795
29,Mark Sanchez,625
30,Kyle Orton,803
31,Nick Foles,545
32,Andy Dalton,1031
33,Jake Locker,299
34,Chad Henne,141
35,Matt Hasselbeck,82
36,Drew Stanton,469
37,Josh McCown,635
38,Geno Smith,759
39,Shaun Hill,452
40,Austin Davis,552
41,Derek Carr,986
42,Robert Griffin III,457
43,Blake Bortles,896
44,Jimmy Clausen,89
45,Brian Hoyer,911
46,Matt Cassel,140
47,Michael Vick,272
48,Christian Ponder,89
49,Case Keenum,165
50,Ryan Lindley,163
51,Ryan Mallett,157
52,Chase Daniel,67
53,Connor Shaw,65
54,Tom Savage,60
0,Cam Newton,1077
1,Russell Wilson,1053
2,Tom Brady,1106
3,Geno Smith,65
4,Andy Dalton,802
5,Blake Bortles,1058
6,Carson Palmer,1040
7,Tyrod Taylor,923
8,Ben Roethlisberger,794
9,Kirk Cousins,1027
10,Marcus Mariota,737
11,Drew Brees,1089
12,Matthew Stafford,1037
13,Alex Smith,989
14,Ryan Fitzpatrick,1049
15,Derek Carr,1018
16,Aaron Rodgers,1138
17,Alex Tanney,30
18,Eli Manning,1107
19,Josh McCown,512
20,Andrew Luck,510
21,Blaine Gabbert,511
22,Jameis Winston,1095
23,Ryan Tannehill,1028
24,Brian Hoyer,674
25,Philip Rivers,1158
26,EJ Manuel,166
27,Matt McGloin,42
28,Jay Cutler,992
29,Brock Osweiler,515
30,Joe Flacco,718
31,Colin Kaepernick,505
32,Johnny Manziel,438
33,AJ McCarron,257
34,Brandon Weeden,314
35,Matt Ryan,1115
36,Teddy Bridgewater,995
37,Colt McCoy,44
38,Matt Hasselbeck,460
39,Kellen Moore,167
40,Sam Bradford,989
41,Mark Sanchez,169
42,Matt Schaub,137
43,Michael Vick,172
44,Tony Romo,233
45,TJ Yates,132
46,Josh Freeman,60
47,Ryan Mallett,424
48,Matt Cassel,415
49,Zach Mettenberger,271
50,Peyton Manning,594
51,Jimmy Clausen,220
52,Case Keenum,297
53,Nick Foles,658
54,Austin Davis,159
0,Aaron Rodgers,1066
1,Matt Ryan,1022
2,Tom Brady,819
3,Andrew Luck,1013
4,Colin Kaepernick,690
5,Drew Brees,1151
6,Matt Moore,190
7,Dak Prescott,1013
8,Kirk Cousins,1063
9,Tyrod Taylor,969
10,Ben Roethlisberger,921
11,Matthew Stafford,1037
12,Marcus Mariota,963
13,Russell Wilson,1008
14,Nick Foles,106
15,Derek Carr,1048
16,Brian Hoyer,314
17,Ryan Tannehill,758
18,Cam Newton,1022
