Name,Played,PassingCompletions,PassingAttempts,PassingYards,PassingTouchdowns,PassingInterceptions,RushingAttempts,RushingYards,RushingTouchdowns
AJ McCarron,11,86,133,920,6,2,14,31,0
Aaron Rodgers,80,1807,2782,21136,181,40,276,1487,9
Alex Smith,92,1740,2654,19345,115,38,348,1804,10
Alex Tanney,1,10,14,99,1,0,0,0,0
Andrew Luck,70,1570,2651,19078,132,68,286,1432,14
Andy Dalton,93,1917,3041,22139,147,80,309,897,17
Austin Davis,16,236,378,2548,13,12,24,68,0
BJ Daniels,8,1,2,7,0,0,6,6,0
Ben Roethlisberger,86,2074,3180,24486,164,74,143,308,2
Blaine Gabbert,33,571,984,6223,32,32,122,533,3
Blake Bortles,62,1318,2229,14927,90,64,223,1410,7
Brady Quinn,10,112,197,1141,2,8,19,66,0
Brandon Weeden,34,559,965,6462,31,30,61,201,1
Brett Hundley,15,194,326,1853,9,13,39,268,2
Brian Hoyer,47,811,1368,9618,47,29,63,100,1
Brock Osweiler,42,584,987,6171,31,27,83,247,4
Bruce Gradkowski,3,5,11,65,0,0,6,-4,0
Bryce Petty,10,130,245,1353,4,10,12,74,0
Byron Leftwich,2,25,53,272,0,1,1,31,1
CJ Beathard,7,123,224,1430,4,6,26,136,3
Cam Newton,93,1691,2903,21023,137,77,702,3614,40
Cardale Jones,1,6,11,96,0,1,1,-1,0
Carson Palmer,75,1718,2762,20800,127,71,106,138,2
Carson Wentz,29,644,1047,7078,49,21,110,449,2
Case Keenum,41,779,1258,8771,46,27,96,323,3
Chad Henne,31,513,891,5817,27,26,56,159,1
Charlie Batch,2,45,70,475,1,4,0,0,0
Charlie Whitehurst,15,135,241,1658,8,4,30,87,0
Chase Daniel,28,45,70,435,1,1,27,79,0
Chris Simms,3,16,31,156,1,1,5,37,0
Christian Ponder,27,474,766,4805,25,23,98,420,7
Cody Kessler,12,139,218,1506,6,3,12,17,0
Colin Kaepernick,66,1008,1688,12236,72,30,374,2304,13
Colt McCoy,15,108,157,1277,6,3,29,72,1
Connor Cook,1,14,21,150,1,1,0,0,0
Connor Shaw,1,14,28,177,0,1,7,9,0
Cooper Rush,2,1,3,2,0,0,2,13,0
Curtis Painter,3,8,16,57,0,2,3,-2,0
Dak Prescott,32,619,949,6991,45,17,114,639,12
Dan Orlovsky,6,26,47,252,1,1,0,0,0
David Carr,2,2,3,19,0,0,3,-3,0
David Fales,3,31,48,287,1,1,5,8,1
Derek Anderson,25,111,168,1265,7,5,23,24,0
Derek Carr,62,1377,2246,14686,103,44,125,360,0
Deshaun Watson,7,126,204,1699,19,8,36,269,2
Deshone Kizer,15,255,476,2894,11,22,77,419,5
Dominique Davis,1,5,7,34,0,0,0,0,0
Drew Brees,95,2609,3815,29703,207,82,157,171,10
Drew Stanton,26,242,473,2914,15,15,50,54,0
EJ Manuel,30,343,590,3767,20,16,96,339,4
Eli Manning,95,2133,3475,24103,154,99,105,184,2
Geno Smith,35,522,902,6174,29,36,139,659,7
Graham Harrell,4,2,4,20,0,0,4,-3,0
Greg McElroy,2,19,31,214,1,1,8,30,0
Jacoby Brissett,19,310,524,3498,13,7,79,343,5
Jake Locker,25,374,643,4425,23,22,87,588,4
Jake Rudock,2,3,5,24,0,1,0,0,0
Jameis Winston,45,939,1544,11636,69,44,139,516,8
Jared Goff,22,408,682,4893,33,14,36,67,2
Jason Campbell,19,223,387,2354,13,10,22,136,0
Jason Vander Laan,4,0,0,0,0,0,0,0,0
Jay Cutler,75,1508,2400,16848,110,74,165,799,3
Jeff Tuel,2,26,59,309,1,3,3,17,0
Jimmy Clausen,8,98,173,962,4,5,14,45,0
Jimmy Garoppolo,23,183,272,2250,12,5,40,21,1
Joe Callahan,1,5,7,11,0,0,0,0,0
Joe Flacco,90,2077,3334,21964,120,84,157,358,12
Joe Webb,70,2,7,35,0,1,10,52,0
John Skelton,7,109,201,1132,2,9,4,5,0
Johnny Manziel,14,147,258,1675,7,7,46,259,1
Jordan Palmer,1,1,3,7,0,0,1,-1,0
Josh Freeman,21,384,733,4975,30,22,52,183,0
Josh Johnson,3,0,0,0,0,0,7,20,0
Josh McCown,46,876,1405,10170,60,34,102,439,10
Kellen Clemens,36,155,263,1821,9,9,33,62,0
Kellen Moore,3,61,104,779,4,6,2,-1,0
Kevin Hogan,8,60,101,621,4,7,18,176,1
Kevin Kolb,6,109,183,1169,8,3,16,100,1
Kirk Cousins,62,1372,2096,16206,99,55,123,379,13
Kyle Orton,16,329,508,3505,21,12,16,22,1
Kyle Sloter,1,0,0,0,0,0,0,0,0
Landry Jones,18,108,169,1310,8,7,19,-19,0
Luke McCown,41,32,40,335,0,1,5,-7,0
Marcus Mariota,42,787,1274,9476,58,34,154,913,9
Mark Sanchez,30,513,871,6010,31,35,66,135,1
Matt Barkley,11,159,266,1911,8,18,12,0,0
