Name,SnapsPlayed
Aaron Jones,87
Adrian Peterson,2688
Ahmad Bradshaw,1243
Alex Collins,580
Alex Green,347
Alfred Blue,899
Alfred Morris,2458
Alvin Kamara,724
Ameer Abdullah,793
Andre Brown,586
Andre Ellington,1461
Andre Williams,547
Andy Janovich,235
Anthony Sherman,386
Antonio Andrews,422
Arian Foster,2053
Austin Ekeler,131
Ben Tate,763
BenJarvus Green-Ellis,1116
Benjamin Cunningham,399
Bernard Pierce,398
Bilal Powell,2509
Bishop Sankey,354
Bobby Rainey,709
Branden Oliver,373
Brandon Bolden,269
Brandon Jacobs,143
Bruce Miller,1429
Bryce Brown,334
Byron Marshall,75
CJ Anderson,1925
CJ Prosise,147
CJ Spiller,1146
Cameron Artis-Payne,84
Carlos Hyde,2146
Cedric Benson,199
Charcandrick West,855
Charles Sims,1309
Chris Carson,308
Chris Ivory,2048
Chris Johnson,2482
Chris Ogbonnaya,521
Chris Thompson,1250
Christian McCaffrey,1073
Christine Michael,398
Corey Clement,117
DJ Foster,141
Da'Rel Scott,140
Dalvin Cook,294
Daniel Thomas,671
Danny Woodhead,1632
Darrel Young,323
Darren McFadden,2055
Darren Sproles,2160
Darrin Reaves,153
Daryl Richardson,203
David Johnson,1743
David Wilson,111
DeAngelo Williams,1995
DeMarco Murray,3912
Denard Robinson,391
Derrick Henry,550
Devonta Freeman,1991
Devontae Booker,788
Dexter McCluster,1466
Dion Lewis,1091
Donald Brown,1024
Doug Martin,2704
DuJuan Harris,98
Duke Johnson,1784
Eddie Lacy,2003
Edwin Baker,97
Erik Lorig,805
Ezekiel Elliott,1640
Felix Jones,379
Frank Gore,4155
Fred Jackson,1542
Giovani Bernard,2739
Greg Jones,329
Henry Hynoski,423
Isaac Redman,309
Isaiah Crowell,2123
JD McKissic,296
Jacquizz Rodgers,1591
Jalen Richard,149
Jamaal Charles,2336
Jamaal Williams,645
James Conner,367
James Develin,1163
James Starks,918
James White,1311
Javorius Allen,1081
Jay Ajayi,1212
Jed Collins,766
Jeremy Hill,1403
Jeremy Langford,639
Jerick McKinnon,1370
Jerome Felton,1020
Joe Mixon,555
John Kuhn,696
Joique Bell,1551
Jonathan Dwyer,427
Jonathan Grimes,340
Jonathan Stewart,2438
Jordan Howard,1445
Jordan Wilkins,136
Joseph Randle,145
Justin Forsett,1450
Kapri Bibbs,105
Kareem Hunt,925
Karlos Williams,243
Kenneth Dixon,280
Kenyan Drake,700
Kerryon Johnson,134
Kerwynn Williams,89
Kiero Small,87
Knowshon Moreno,1109
Kyle Juszczyk,1961
LaRod Stephens-Howling,338
Lamar Miller,3525
Lance Dunbar,92
Latavius Murray,1849
Le'Veon Bell,3633
LeGarrette Blount,1191
LeRon McClain,333
LeSean McCoy,4500
Leonard Fournette,609
Lex Hilliard,281
Marcel Reece,1547
Marcus Murphy,62
Mark Ingram,2141
Marlon Mack,352
Marshawn Lynch,3072
Matt Asiata,932
Matt Breida,163
Matt Forte,4051
Matt Jones,561
Maurice Jones-Drew,887
Melvin Gordon,2077
Michael Robinson,328
Michael Turner,476
Mike Davis,414
Mike Gillislee,112
Mike Tolbert,2010
Mikel Leshoure,529
Montee Ball,191
Nyheim Hines,252
Orleans Darkwa,315
Patrick DiMarco,809
Paul Perkins,289
Peyton Barber,200
Peyton Hillis,202
Phillip Lindsay,173
Pierre Thomas,1248
Rashad Jennings,2165
Rashard Mendenhall,459
Ray Rice,1514
Reggie Bush,1461
Rob Kelley,345
Robert Turbin,424
Ronnie Brown,355
Ronnie Hillman,836
Roy Helu,891
Royce Freeman,163
Ryan Mathews,1326
Ryan Williams,140
Samaje Perine,360
Saquon Barkley,309
Shane Vereen,1763
Shaun Draughn,263
Shonn Greene,568
Sony Michel,134
Spencer Ware,546
Stanley Havili,328
Stevan Ridley,1070
Steven Jackson,1544
TJ Yeldon,1700
Tarik Cohen,502
Terrance West,845
Tevin Coleman,1013
Theo Riddick,1500
Thomas Rawls,592
Tim Hightower,192
Toby Gerhart,302
Todd Gurley,2342
Tommy Bohanon,371
Tre Mason,368
Trent Richardson,1778
Ty Montgomery,1052
Tyler Ervin,86
Vick Ballard,618
Vonta Leach,456
Wayne Gallman,325
Wendell Smallwood,335
Will Johnson,365
William Powell,284
Willis McGahee,655
Zac Stacy,566
Zach Line,68
Zach Zenner,293
