Name,Receptions,ReceivingYards,ReceivingTouchdowns
AJ Green,524,7650,55
AJ Jenkins,17,223,0
Aaron Burbridge,7,88,0
Aaron Dobson,53,698,4
Ace Sanders,57,539,1
Adam Humphries,159,1696,4
Adam Thielen,238,3236,14
Albert Wilson,147,1903,11
Aldrick Robinson,72,1233,11
Alex Erickson,24,291,1
Allen Hurns,197,2753,22
Allen Robinson,226,3129,24
Alshon Jeffery,379,5556,38
Amara Darboh,8,71,0
Amari Cooper,224,3179,19
Andre Caldwell,32,337,5
Andre Holmes,122,1653,15
Andre Johnson,356,4529,18
Andre Roberts,170,2022,10
Andrew Hawkins,186,2157,9
Andrew Turzilli,2,25,0
Andy Jones,0,0,0
Anquan Boldin,369,4535,28
Anthony Armstrong,3,12,0
Anthony Miller,9,89,2
Antonio Brown,688,9113,63
Antonio Callaway,15,186,1
Ardarius Stewart,6,82,0
Armanti Edwards,6,131,0
Armon Binns,24,277,1
Arrelious Benn,10,154,1
Austin Carr,5,62,0
Austin Collie,7,69,0
Austin Pettis,80,778,9
BJ Cunningham,0,0,0
Ben Edwards,1,9,0
Ben Obomanu,5,66,0
Bennie Fowler,56,698,5
Bernard Reedy,2,21,0
Brad Smith,16,179,2
Bradley Marquez,17,156,0
Bralon Addison,1,11,0
Brandin Cooks,308,4448,28
Brandon Banks,8,15,0
Brandon Coleman,79,1099,8
Brandon Gibson,110,1312,9
Brandon LaFell,320,4182,25
Brandon Lloyd,88,1205,5
Brandon Marshall,476,6104,49
Brandon Stokley,58,659,5
Brandon Tate,47,667,4
Brandon Zylstra,0,0,0
Braxton Miller,34,261,2
Braylon Edwards,18,199,1
Brenton Bersin,32,415,1
Breshad Perriman,43,576,3
Brian Hartline,235,3096,9
Brian Quick,114,1593,10
Brian Robiskie,4,44,1
Brian Tyms,7,94,1
Brice Butler,73,1177,8
Brittan Golden,18,293,1
Bruce Ellington,56,637,5
Bryan Walters,62,656,3
Bryce Treggs,8,159,0
Calvin Johnson,365,5747,34
Calvin Ridley,22,349,6
Cam Sims,0,0,0
Cameron Batson,0,0,0
Cameron Meredith,86,1122,5
Cayleb Jones,0,0,0
Cecil Shorts,227,2949,13
Chad Hall,2,20,0
Chad Hansen,9,94,0
Chad Williams,12,123,1
