Name,SnapsPlayed
AJ Green,5343
AJ Jenkins,247
Aaron Dobson,759
Ace Sanders,601
Adam Humphries,1995
Adam Thielen,2227
Albert Wilson,1875
Aldrick Robinson,845
Alex Erickson,126
Allen Hurns,3073
Allen Robinson,2857
Alshon Jeffery,4653
Amari Cooper,2936
Andre Holmes,1949
Andre Johnson,3824
Andre Roberts,2396
Andrew Hawkins,2231
Anquan Boldin,4226
Anthony Miller,153
Antonio Brown,5939
Antonio Callaway,318
Armon Binns,396
Austin Carr,114
Austin Pettis,1092
Bennie Fowler,575
Brad Smith,314
Brandin Cooks,3788
Brandon Coleman,1446
Brandon Gibson,1518
Brandon LaFell,5149
Brandon Lloyd,1376
Brandon Marshall,5114
Brandon Stokley,597
Brandon Tate,484
Braxton Miller,807
Braylon Edwards,292
Brenton Bersin,166
Breshad Perriman,871
Brian Hartline,3132
Brian Quick,1738
Brice Butler,1163
Bruce Ellington,712
Bryan Walters,634
Bryce Treggs,162
Calvin Johnson,3743
Calvin Ridley,215
Cameron Meredith,789
Cecil Shorts,2977
Chad Hansen,342
Chad Williams,303
Charles Johnson,847
Charone Peake,323
Chaz Schilens,505
Chester Rogers,1174
Chris Conley,1754
Chris Givens,1883
Chris Godwin,629
Chris Harper,229
Chris Hogan,2847
Chris Moore,536
Chris Owusu,387
Christian Kirk,283
Clyde Gates,372
Cobi Hamilton,385
Cody Core,262
Cody Latimer,539
Cole Beasley,2409
Cooper Kupp,1067
Cordarrelle Patterson,1964
Corey Brown,1645
Corey Coleman,983
Corey Davis,826
Corey Fuller,410
Courtland Sutton,327
Curtis Samuel,226
D.J. Chark,121
D.J. Moore,123
Da'Rick Rogers,205
Damaris Johnson,576
Damian Williams,610
Damiere Byrd,191
Damion Ratley,66
Danario Alexander,480
Daniel Brown,261
Danny Amendola,3232
Dante Pettis,129
Darius Jennings,203
Darius Johnson,401
Darius Powe,48
Darrius Heyward-Bey,2043
Davante Adams,3604
David Moore,164
David Nelson,895
Davone Bess,1275
DeAndre Hopkins,5750
DeAndre Smelter,51
