,Name,Team,Position,Receptions,ReceivingYards,ReceivingTouchdowns
0,Calvin Johnson,DET,WR,122,1964,5
1,Brandon Marshall,CHI,WR,118,1508,11
2,Dez Bryant,DAL,WR,92,1382,12
3,AJ Green,CIN,WR,97,1350,11
4,Demaryius Thomas,DEN,WR,94,1434,10
5,Vincent Jackson,TB,WR,72,1384,8
6,Eric Decker,DEN,WR,85,1064,13
7,Andre Johnson,HOU,WR,112,1598,4
8,Julio Jones,ATL,WR,79,1198,10
9,Roddy White,ATL,WR,92,1351,7
10,Wes Welker,NE,WR,118,1354,6
11,Marques Colston,NO,WR,83,1154,10
12,Victor Cruz,NYG,WR,86,1092,10
13,Michael Crabtree,SF,WR,85,1105,9
14,Reggie Wayne,IND,WR,106,1355,5
15,James Jones,GB,WR,64,784,14
16,Mike Williams,TB,WR,63,996,9
17,Randall Cobb,GB,WR,80,954,8
18,Steve Smith,CAR,WR,73,1174,4
19,Lance Moore,NO,WR,65,1041,6
20,Steve Johnson,BUF,WR,79,1046,6
21,Cecil Shorts,JAX,WR,55,979,7
22,Torrey Smith,BAL,WR,49,855,8
23,T.Y. Hilton,IND,WR,50,861,7
24,Mike Wallace,PIT,WR,64,836,8
25,Miles Austin,DAL,WR,66,943,6
26,Jeremy Maclin,PHI,WR,69,857,7
27,Brandon Lloyd,NE,WR,74,911,4
28,Justin Blackmon,JAX,WR,64,865,5
29,Jordy Nelson,GB,WR,49,745,7
30,Sidney Rice,SEA,WR,50,748,7
31,Anquan Boldin,BAL,WR,65,921,4
32,Golden Tate,SEA,WR,45,688,7
33,Denarius Moore,OAK,WR,51,741,7
34,Brian Hartline,MIA,WR,74,1083,1
35,Malcom Floyd,LAC,WR,56,814,5
36,Andre Roberts,ARI,WR,64,759,5
37,Josh Gordon,CLE,WR,50,805,5
38,Danario Alexander,LAC,WR,37,658,7
39,Antonio Brown,PIT,WR,66,787,5
40,Santana Moss,WAS,WR,41,573,8
41,Larry Fitzgerald,ARI,WR,71,798,4
42,Percy Harvin,MIN,WR,62,677,3
43,Brandon Gibson,LAR,WR,51,691,5
44,Nate Washington,TEN,WR,46,746,4
45,Donnie Avery,IND,WR,60,781,3
46,Dwayne Bowe,KC,WR,59,801,3
