,Name,Unnamed: 0,20 Yard Shuttle,40 Yard Dash,60 Yard Shuttle,Arm Length,Bench Press,Broad Jump,College,Grade,Hands,Height,Position,Three Cone Drill,Vertical Jump,Weight,Wonderlic,Year,SnapsPlayed_y
0,AJ Green,1350,4.21,4.48,,34.375,18.0,126.0,Georgia,0.0,9.25,76.0,WR,6.91,34.5,211,0.0,2011,5343
1,AJ Hawk,2766,3.96,4.59,,0.0,24.0,115.0,Ohio State,0.0,0.0,73.0,OLB,0.0,40.0,248,0.0,2006,2565
2,AJ Jefferson,1686,4.0,4.42,,32.5,7.0,126.0,,0.0,9.25,73.0,CB,0.0,44.0,193,0.0,2010,582
3,AJ Jenkins,1084,4.12,4.39,,32.75,12.0,124.0,Illinois,0.0,9.5,72.0,WR,6.73,38.0,190,0.0,2012,247
4,AJ Klein,794,0.0,4.66,,32.875,20.0,113.0,Iowa State,0.0,10.25,73.0,ILB,0.0,0.0,250,0.0,2013,1848
5,AJ McCarron,525,4.34,4.94,,0.0,0.0,99.0,Alabama,5.6,0.0,75.0,QB,7.18,28.0,220,0.0,2014,257
6,Aaron Colvin,380,0.0,0.0,,0.0,0.0,0.0,Oklahoma,5.3,0.0,71.0,CB,0.0,0.0,177,0.0,2014,2540
7,Aaron Jones,46,4.2,4.56,11.53,32.5,16.0,127.0,UTEP,,9.5,69.0,RB,6.82,37.5,208,,2017,87
8,Aaron Rodgers,3184,4.32,4.71,,0.0,0.0,110.0,California,0.0,0.0,74.0,QB,7.39,34.5,223,39.0,2005,5678
9,Aaron Ross,2603,4.15,4.44,,0.0,17.0,118.0,Texas,0.0,0.0,73.0,CB,0.0,34.0,193,0.0,2007,825
10,Aaron Williams,1543,4.07,4.55,,31.5,18.0,127.0,Texas,0.0,9.25,73.0,CB,0.0,37.5,204,0.0,2011,2908
11,Aaron Williams,4928,4.34,4.79,,0.0,19.0,108.0,,0.0,0.0,77.0,DE,0.0,33.5,253,0.0,1999,2908
12,Ace Sanders,868,4.37,4.58,,29.5,7.0,117.0,South Carolina,0.0,8.875,67.0,WR,6.81,32.0,173,0.0,2013,601
13,Adrian Amos,6,4.03,4.56,,0.0,0.0,122.0,Penn St.,5.5,0.0,72.0,FS,7.09,35.5,218,0.0,2015,2958
14,Adrian Peterson,2585,4.4,4.4,,0.0,0.0,127.0,Oklahoma,0.0,0.0,74.0,RB,0.0,38.5,217,0.0,2007,2688
15,Adrian Peterson,3974,4.6,4.68,,0.0,14.0,119.0,Georgia Southern,0.0,0.0,70.0,RB,0.0,34.0,214,0.0,2002,2688
16,Adrian Wilson,4305,0.0,4.53,,0.0,21.0,120.0,North Carolina State,0.0,0.0,75.0,SS,0.0,39.5,213,0.0,2001,845
17,Ahkello Witherspoon,281,4.13,4.45,11.6,33.0,,127.0,Colorado,5.73,9.875,75.0,CB,6.93,40.5,198,,2017,916
18,Ahmad Black,1279,4.2,4.7,,31.0,18.0,119.0,Florida,0.0,9.875,70.0,SS,0.0,35.5,184,0.0,2011,563
19,Ahmad Bradshaw,2439,4.09,4.55,,0.0,0.0,112.0,Marshall,0.0,0.0,70.0,RB,0.0,34.0,198,0.0,2007,1243
