Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,Tyreek Hill,KC,WR,6,51,34,66.7,567,6,75,11.1,16.7,8,37,4.6,0,0,0,16.1,96.4
2,Adam Thielen,MIN,WR,6,81,58,71.6,712,4,68,8.8,12.3,0,0,0,0,0,0,15.9,95.2
3,Emmanuel Sanders,DEN,WR,7,61,46,75.4,603,3,64,9.9,13.1,2,53,26.5,1,0,0,13.5,94.72
4,Davante Adams,GB,WR,6,71,47,66.2,557,6,51,7.8,11.9,0,0,0,0,0,0,15.3,91.7
5,Antonio Brown,PIT,WR,6,72,40,55.6,478,6,48,6.6,12,0,0,0,0,0,0,14,83.8
6,DeAndre Hopkins,HOU,WR,6,63,44,69.8,657,3,49,10.4,14.9,1,-7,-7,0,1,1,13.5,81
7,Robert Woods,LAR,WR,6,51,36,70.6,524,3,36,10.3,14.6,7,84,12,0,0,0,13.1,78.8
8,AJ Green,CIN,WR,6,55,33,60,494,5,38,9,15,0,0,0,0,2,1,12.9,77.4
9,Cooper Kupp,LAR,WR,6,42,30,71.4,438,5,70,10.4,14.6,4,25,6.2,0,0,0,12.7,76.3
10,Calvin Ridley,ATL,WR,6,29,22,75.9,349,6,75,12,15.9,3,13,4.3,0,1,0,12,72.2
11,Julio Jones,ATL,WR,6,69,44,63.8,708,0,58,10.3,16.1,1,11,11,0,0,0,12,71.9
12,Juju Smith-Schuster,PIT,WR,6,63,42,66.7,561,2,67,8.9,13.4,0,0,0,0,0,0,11.7,70.1
13,Tyler Boyd,CIN,WR,6,52,37,71.2,455,4,49,8.8,12.3,1,5,5,0,0,0,11.7,70
14,DeSean Jackson,TB,WR,5,31,21,67.7,501,3,75,16.2,23.9,1,7,7,0,0,0,13.8,68.8
15,Tyler Lockett,SEA,WR,6,32,23,71.9,360,5,52,11.2,15.7,3,18,6,0,1,0,11.3,67.8
15,Stefon Diggs,MIN,WR,6,60,40,66.7,435,3,75,7.2,10.9,5,43,8.6,0,0,0,11.3,67.8
17,Albert Wilson,MIA,WR,6,32,23,71.9,359,4,75,11.2,15.6,6,12,2,0,0,0,11.2,67.18
18,Michael Thomas,NO,WR,5,49,46,93.9,519,3,35,10.6,11.3,0,0,0,0,2,2,13.2,65.9
